id,doc_id,text,p_hate,label
1,047461152_20_2019-24_pdf_128_047461152_20_2019-24_pdf_128_0048,"10470 
Hessischer Landtag · 20. Wahlperiode · 128. Sitzung · 15. Februar 2023

Damit wird dieser Gesetzentwurf, dessen langen Namen 
vorzulesen ich uns jetzt allen erspare, Drucks. 20/10496, 
dem Sozial-und Integrationspolitischen Ausschuss überwiesen.",0.22107631,NON_HATE
2,047461152_20_2019-24_pdf_007_047461152_20_2019-24_pdf_007_0003,"Hessischer Landtag · 20. Wahlperiode · 7. Sitzung · 28. Februar 2019

13. 
Erste Lesung 
Gesetzentwurf 
Fraktion der CDU, Fraktion BÜNDNIS 90/
DIE GRÜNEN 
Zweites Gesetz zur Änderung des Hessischen 
Behinderten-Gleichstellungsgesetzes 
 Drucks. 20/178 ................................................465 
Nach erster Lesung dem Sozial- und Integrationspolitischen 
Ausschuss überwiesen.................473

Silvia Brünnel....................................................... 
465 
Christiane Böhm................................................... 
466 
Arno Enners..................................................467, 472,",0.76240134,NON_HATE
3,047461152_20_2019-24_pdf_096_047461152_20_2019-24_pdf_096_0001,"10. 
Große AnfrageVolker Richter (AfD), Dimitri Schulz 
(AfD), Claudia Papst-Dippel (AfD), Arno 
Enners (AfD), Fraktion der AfDMuezzin-Rufe in Hessen 
 Drucks. 20/5128 
zu Drucks. 20/3809 ...........7758 
Antwort dem Ausschuss für Umwelt, Klimaschutz, 
Landwirtschaft und Verbraucherschutz 
zur weiteren Beratung überwiesen.......................7758

11. 
Große AnfrageVolker Richter (AfD), Arno Enners (AfD),
Klaus Herrmann (AfD), Dimitri Schulz 
(AfD), Fraktion der AfDSozialleistungsbezug durch Personen mit 
ausländischer Staatsangehörigkeit bei fehlendem 
tatsächlichem oder gewöhnlichem 
Aufenthalt 
 Drucks. 20/5203 
zu Drucks. 20/4199 ...........7758 
Antwort dem Sozial-und Integrationspolitischen 
Ausschuss zur weiteren Beratung überwiesen...................................................................7758

12. 
Große AnfrageVolker Richter (AfD), Claudia Papst-Dippel 
(AfD), Arno Enners (AfD), Klaus Gagel(AfD), Dr. Frank Grobe (AfD)
Etwaige Umsetzung des § 20 Abs. 6 IfSG inHessen und der BRD 
 Drucks. 20/5216 
zu Drucks. 20/5087 ...........7758 
Antwort dem Sozial-und Integrationspolitischen 
Ausschuss zur weiteren Beratung überwiesen.................................",0.19248393,NON_HATE
4,047461152_20_2019-24_pdf_045_047461152_20_2019-24_pdf_045_0073,"Zu guter Letzt möchte ich Bürgermeister Dr. Thomas 
Stöhr, Präsident des Hessischen Städte-und Gemeindebunds, 
zitieren:

Die Einigung berücksichtigt, dass Städte, Gemeinden 
und Landkreise die Aufgaben im Zusammenhang 
mit der Unterbringung Geflüchteter nur gemeinsam 
lösen können

Der Zusammenhalt des Landes und der kommunalen Ebene 
bei der Bewältigung dieser Herausforderungen ist besonders 
wichtig. Die Landesregierung greift mit diesem 
Gesetzentwurf den Kommunen unter die Arme. Deswegen 
bitte ich Sie, diesen Gesetzentwurf zu unterstützen.",0.22879419,NON_HATE
5,047461152_20_2019-24_pdf_055_047461152_20_2019-24_pdf_055_0057,"Dem stellen wir uns als AfD entgegen, und zwar gemeinsam 
mit sehr vielen Migranten, die nämlich aus genau dem 
Grund so gern in Hessen leben, weil sie hier frei sein dürfen, 
und es ablehnen, wie in ihrer Heimat von der Politik 
oder von religiösen Eiferern gemaßregelt und gegängelt zu 
werden. Sie von den etablierten Parteien wären überrascht, 
wie viele Migranten Anhänger der AfD sind, und noch 
mehr wären Sie überrascht, dass bei diesen nicht wir als 
Rassisten gelten, sondern diejenigen, die mit ihrer Doppelmoral 
die Migranten hofieren, die exakt jene Missstände",0.46098244,HATE
6,047461152_20_2019-24_pdf_104_047461152_20_2019-24_pdf_104_0064,"Hessen finanziert  das wurde hier auch schon angesprochen 
 die Schulgelder in der Altenpflegeausbildung und 
beteiligt sich an der Aktion Ausbildungsoffensive Pflege.

Ich möchte auf verschiedene Programme hinweisen, die 
schon seit Langem in Hessen stattfinden und bei diesem 
Thema vielleicht gerade untergegangen sind: Das Programm 
Sozialwirtschaft integriert ist ein sehr erfolgreiches 
Programm. Deswegen wird es auch 2022 fortgesetzt, 
nämlich mit 7,2 Millionen . Das ermöglicht genau das, 
was hier eben angesprochen wurde, nämlich Menschen 
mit Flucht- und Migrationsgeschichte eine Ausbildung als 
Erzieherin oder als Pflegekraft zu ermöglichen. Ich denke, 
auch damit sind wir auf einem guten Weg hier in Hessen.

(Beifall BÜNDNIS 90/DIE GRÜNEN und vereinzelt 
CDU)",0.011570223,NON_HATE
7,047461152_20_2019-24_pdf_099_047461152_20_2019-24_pdf_099_0035,"Unser Dank gilt den unzähligen Menschen auch in Hessen, 
die Geflüchtete aufnehmen. Es ist großartig, wie sich Tausende 
Menschen in ihren Kommunen, vom kleinsten Dorf 
bis zum größten Landkreis, in den Städten und auf dem 
Land, jetzt ins Zeug legen, um den Geflüchteten zu helfen. 
Das ist ein ganz großartiges Zeichen.

Wir begrüßen, dass die EU mit dem Beschluss zu der sogenannten 
Massenzustrom-Richtlinie  wahrlich ein furchtbares 
Wort  einen schnellen und unbürokratischen Weg 
gefunden hat, ukrainischen Geflüchteten Schutz zu bieten. 
Aber ich sage auch: Eine ähnliche Ge- und Entschlossenheit 
bei der Aufnahme von Schutzsuchenden hätten wir

uns schon früher gewünscht. Anlässe gab es in jüngster 
Vergangenheit genug. Warum konnte 2015, als von einer 
Flüchtlingswelle gesprochen wurde, nicht diese Richtlinie 
zum Greifen kommen? Solidarität, Schutz und Unterstützung 
müssen doch für alle Menschen gelten, die vor 
Kriegen und Gewalt fliehen müssen.",0.024435908,NON_HATE
8,047461152_20_2019-24_pdf_144_047461152_20_2019-24_pdf_144_0017,"Ja, wir haben am 8. Oktober Landtagswahl. Ich finde, 
da gehört es zum politischen Diskurs, dass die Parteien 
ihre unterschiedlichen Auffassungen darlegen. Die einen, 
die CDU, wollen lieber über die Ampel in Berlin reden. 
Andere, wie wir, sagen, es geht um Landespolitik. Das ist 
zunächst auch zulässig. Wir wollen Menschen von unseren 
Auffassungen überzeugen. Natürlich haben Menschen in 
diesem Land Sorgen, Ängste und Nöte: Wie geht es mit 
der Migration und der Integration weiter? Wie halten wir 
es mit den Flüchtlingen? Ich finde, da müssen wir auch mit 
den Menschen diskutieren. Wir müssen auch Antworten 
darauf geben.

Das Thema Migration und Integration eignet sich für den 
Wahlkampf normalerweise am allerwenigsten, weil es die 
einfachen, schnellen Lösungen, die Rechtsaußen bietet, an 
der Stelle nicht gibt. Ja, und wer Obergrenzen für Flücht-
linge fordert, muss auch sagen, was er dann mit dem einen 
Flüchtling mehr über der Obergrenze macht.",0.023019202,NON_HATE
9,047461152_20_2019-24_pdf_102_047461152_20_2019-24_pdf_102_0025,"Meine Damen und Herren, nach der ersten Lesung überweisen 
wir den Gesetzentwurf der Fraktion der Freien 
Demokraten zur weiteren Beratung an den Sozial-und 
Integrationspolitischen Ausschuss.",0.25490355,NON_HATE
10,047461152_20_2019-24_pdf_026_047461152_20_2019-24_pdf_026_0047,"Vielen Dank, Herr Staatsminister.  Weitere Wortmeldungen 
sehe ich nicht.

Die dritte Lesung ist beantragt. Damit überweisen wir diebeiden Gesetzentwürfe mit den beiden Änderungsanträgen 
zurück an den Sozial-und Integrationspolitischen Ausschuss 
zur Vorbereitung der dritten Lesung.",0.4535009,NON_HATE
11,047461152_20_2019-24_pdf_055_047461152_20_2019-24_pdf_055_0095,"Vielen Dank, Herr Kollege.  Mir liegen keine weiteren 
Wortmeldungen vor.

Es wurde die dritte Lesung des Gesetzentwurfs beantragt.
Deswegen überweisen wir den Gesetzentwurf mit dem Änderungsantrag 
zur Vorbereitung der dritten Lesung an den 
Sozial- und Integrationspolitischen Ausschuss.",0.23241083,NON_HATE
12,047461152_20_2019-24_pdf_112_047461152_20_2019-24_pdf_112_0056,"Antwort Kai Klose, Minister für Soziales und Integration:

Das Hessische Ministerium für Soziales und Integration 
prüft derzeit intensiv die Möglichkeiten der Umsetzung des 
Konzepts anonymer Behandlungsschein und Clearingstellen 
für Hessen.

Hierzu gab es neben Gesprächen mit Medinetz Marburg",0.28994444,NON_HATE
13,047461152_20_2019-24_pdf_012_047461152_20_2019-24_pdf_012_0042,"(Zurufe Christian Heinz und Hartmut Honka (CDU))

Parallel hierzu entwickelte sich eine mit Steuergeldern sowie 
Schuldenaufnahme finanzierte Asylindustrie.

(Michael Boddenberg (CDU): Gehen Sie doch zu Ihren 
Parteifreunden bei der FPÖ!)",0.01709417,HATE
