speaker,party,text,wahlperiode,sitzung,datum,source,label,score
Robert Lambrou,AfD,"Herr Präsident! Wir beantragen einen dritten Wahlgang 
und nominieren als Kandidaten für das Amt des Vizepräsidenten 
Bernd-Erich Vohl.",20.0,1.0,2019-01-18,047461152_20_2019-24_pdf_001,NON_HATE,0.5575
Arno Enners,AfD,"Herr Präsident, meine Damen und Herren! Ich sehe bei 
dem Antrag der LINKEN keine Dringlichkeit und plädiere 
deshalb auf Nichtbefassung.  Vielen Dank.",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.8574
Robert Lambrou,AfD,"Sehr geehrte Frau Ministerin, vielen Dank für Ihre Antwort. 
Ich finde sie spannend. 

Ich habe folgende Nachfrage: Ist Ihnen eigentlich bekannt, 
dass Ihr Ministerium letztes Jahr der Fraktion der AfD im 
Rathaus in Wiesbaden schriftlich bestätigt hat, dass die 
Messstation an der Ringkirche in Wiesbaden entsprechend 
den gesetzlichen Vorgaben nicht korrekt aufgestellt ist?",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.9833
Karl Hermann Bolldorf,AfD,"Herr Präsident, verehrte Kolleginnen und Kollegen! Kaum 
ein Thema beschäftigt die Politik in der Europäischen Union 
derzeit so spannungsgeladen wie der Brexit. Der Austritt 
Großbritanniens aus der EU hat viele direkte Auswirkungen, 
sowohl positiv für den Bankenstandort Frankfurt 
als auch mehrheitlich negativ für Wirtschaft, Tourismus 
und andere Bereiche in Hessen. 

Meine Damen und Herren, die Landesregierung steht in 
der Pflicht, die mit dem Brexit verbundenen Nachteile zu 
minimieren und rechtzeitig Vorkehrungen für alle möglichen 
Szenarien zu treffen, insbesondere aus rechtlicher 
Sicht. 

Dem Landtag ist nun ein Hessisches Brexit-Übergangsgesetz 
vorgelegt worden. Dieses sieht vor, eine Generalklausel 
in das Landesrecht aufzunehmen, nach der Bezugnahmen 
im Landesrecht das Vereinigte Königreich auch während 
der Übergangsphase als Mitglied der EU und der Europäischen 
Atomgemeinschaft erfassen. Hierbei gibt es 
konkrete Ausnahmen. Der Gesetzentwurf bezieht sich auf 
Art. 127 Abs. 1, 4, 5 und 7 des Austrittsabkommens. Dies 
betrifft etwa die Bereiche der Grenzkontrollen, die Ständige 
Strukturierte Zusammenarbeit und die Gemeinsame Außen- 
und Sicherheitspolitik. 

Der vorliegende Gesetzentwurf ist eine logische Folge dessen, 
was auf europäischer Ebene beschlossen wurde, und 
ist daher rechtspolitisch notwendig. Er schafft Rechtsklarheit 
für den Rechtsanwender und schreibt die bisherige 
Rechtslage fest. Auf einen eventuellen Erfüllungsaufwand 
der Verwaltung wird  anders als in den Brexit-Übergangsgesetzen 
anderer Bundesländer  nicht eingegangen. Der 
Erfüllungsaufwand umfasst die gesamten Kosten sowie 
den Zeitaufwand, die durch die Befolgung der rechtlichen 
Vorschrift entstehen. Betroffene Gruppen wären Bürger, 
Wirtschaft und öffentliche Verwaltung. Allerdings lässt 
sich im Moment noch nicht absehen, inwieweit sich ein Erfüllungsaufwand 
ergibt. 

Wichtig ist aber, festzuhalten, dass das Gesetz nur in Kraft 
tritt, falls auch das Austrittsabkommen zwischen dem Vereinigten 
Königreich und der EU in Kraft tritt und rechtswirksam 
ist. Dass dies allerdings zutreffen wird, ist nach 
dem derzeitigen Stand aufgrund der Position des britischen 
Unterhauses mehr als fraglich. 

Meine Damen und Herren, aus diesem Grund will die 
AfD-Fraktion in dieser Debatte zwei grundsätzliche Bemerkungen 
anheimstellen. 

Erstens. 2016 hat sich eine Mehrheit der Bürger des Vereinigten 
Königreichs Großbritannien und Nordirland in einem 
freien und fairen Referendum für den Austritt aus der 
Europäischen Union entschieden. Ein Austrittsverfahren 
nach Art. 50 EU-Vertrag wurde begonnen, und es ist zum 

 

beiderseitigen Erfolg zu Ende zu führen. Einen Exit vom 
Brexit darf es nicht geben. Alles andere führt die demokratische 
Legitimation dieser Entscheidung ad absurdum. 

(Beifall AfD) 

Zweitens. Das Verhalten der EU-Institutionen in der Streitfrage 
des Austrittsabkommens ist nicht souverän. Die AfD-
Fraktion hält es für politisch falsch, dass die EU trotz 
mehrfacher Ablehnung des Austrittsabkommens durch das 
britische Unterhaus Nachverhandlungen ausschließt. 

(Beifall AfD) 

Meine Damen und Herren, dieses Verhalten riskiert einen 
harten Brexit, der sowohl für die Briten als auch für 
Deutschland und insbesondere für Hessen negative Folgen 
hat. 

Die stellvertretende Direktorin der Generaldirektion Handel 
der EU-Kommission, Frau Dr. Sabine Weyand, hat bereits 
im Rahmen der Europaministerkonferenz im Juni 
2018 vor der steigenden Wahrscheinlichkeit eines NoDeal-
Brexits gewarnt. Es ist jedoch nach unserer Auffassung 
primär auf Bundesebene versäumt worden, für dieses 
Szenario im Interesse der Bundesländer frühzeitig angemessene 
Vorkehrungen zu treffen. 

Meine Damen und Herren, ein No-Deal-Brexit würde insbesondere 
in der Exportbranche zu Wachstumseinbußen 
und negativen Einflüssen auf Handelsverflechtungen führen 
sowie Arbeitsplätze gefährden. Auch Tourismus und 
beispielsweise der Flugverkehr  das ist eben schon angeklungen: 
durch die Einstellung aller Flüge zwischen EU 
und Großbritannien  wären betroffen. Zudem entsteht 
Rechtsunsicherheit in Bereichen, die die Menschen direkt 
betreffen, wie etwa Roaminggebühren, Visafreiheit und 
Fluggastrechte. 

Kurzum: Ein harter, ungeordneter Brexit schadet dem international 
ausgerichteten Wirtschaftsstandort Hessen. Lediglich 
die Bekundungen vieler Banken und Finanzinstitute, 
die infolge der Brexit-Diskussionen ihre Europaabteilungen 
in Frankfurt am Main auf- oder ausbauen wollen, 
sind aus dieser Sicht ein positiver Aspekt. Das muss bei einer 
differenzierten Betrachtung auch erwähnt werden. 
Aber auch hier gilt: Lediglich Absichtserklärungen ersetzen 
kein aktives Handeln. 

(Beifall AfD) 

Meine Damen und Herren, die AfD-Fraktion teilt die Einschätzung, 
die der Ausschuss der Regionen in einer Resolution 
zum Brexit geäußert hat. Die Europäische Union 
muss mit der britischen Regierung zusammenarbeiten, um 
unter Berücksichtigung der erzielten Erfolge Formen der 
Zusammenarbeit zu finden, die für beide Seiten vorteilhaft 
sind. 

(Beifall AfD) 

Es braucht diese Nachverhandlungen zum Austrittsabkommen. 
Es braucht Nachverhandlungen für ein faires Austrittsabkommen, 
das eine beiderseitige Anerkennung des 
Vereinbarten sicherstellt, aber Großbritannien gegenüber 
anderen EU-Mitgliedstaaten nicht privilegiert. Der Austritt 
Großbritanniens muss ohne Wenn und Aber geordnet geschehen, 
weil dies im Sinne der Bürger, der transnational 
agierenden Unternehmen in Hessen sowie der Kommunen 
ist. Für diese und andere sind Rechtssicherheit und geordnete 
Wirtschaftsbeziehungen zwingende Voraussetzungen. 

Da wir uns jetzt in der ersten Lesung mit einem Gesetz beschäftigen, 
habe ich nachgeprüft und festgestellt, dass das 
Anhörungsverfahren zum Brexit-Übergangsgesetz keine 
wesentlichen Veränderungen durch die angehörten Institutionen 
ergeben hat. 

Ich komme zum Abschluss meines Redebeitrags auf den 
FDP-Antrag, der eben kurzfristig vorgelegt wurde. Es handelt 
sich bei diesem Antrag  im Grunde ist es der zweite 
Schritt nach dem ersten, was dieses Gesetz betrifft  um einen 
Resolutionsantrag, der sehr sinnvoll ist, wenn man den 
zweiten Schritt sieht, der die Landesregierung inhaltlich 
auffordert, die negativen Folgen des No-Deal-Brexits 
durch geeignete Maßnahmen zu kompensieren und die 
Chancen zu nutzen, die sich aus dem vorgesehenen Brexit-
Übergangsgesetz ergeben, die entsprechenden Vorkehrungen 
zu treffen und das auch schriftlich festzuhalten. 

Ich komme zum Schluss. Die AfD-Fraktion stimmt der 
Überweisung dieses Gesetzentwurfs, davon gehe ich aus, 
an den zuständigen Europaausschuss zu.  Ich danke Ihnen 
für Ihre Aufmerksamkeit. 

(Beifall AfD)",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.988
Andreas Lichert,AfD,"Frau Präsidentin, verehrte Kollegen, sehr geehrte Damen 
und Herren! Eigentlich müsste die heutige Debatte über 
den Antrag der Regierungsfraktionen ziemlich langweilig 
sein; denn eigentlich dreht sich Energiepolitik ja um objektive 
Tatsachen, um Naturgesetze und um Zusammenhänge 
von Technik und Wirtschaftlichkeit  eigentlich. Aber diese 
energiepolitische Debatte wird ganz sicher nicht langweilig 
sein, und der Grund dafür ist einfach: Für Energiepolitik 
gilt leider das Gleiche wie für viel zu viele andere 
Politikfelder in unserem Lande: Sie ist nämlich durch und 
durch ideologisiert. 

(Beifall AfD) 

Und wo Ideologie regiert, bleiben Verstand und Vernunft 
regelmäßig auf der Strecke. Das heißt: Wir sprechen nicht 
über mehr oder weniger effektiv erzeugten Strom, nein, 
sondern wir reden von gutem oder bösem Strom. Gut 
ist natürlich der Strom aus Windrädern und Solarzellen; 
und böse ist natürlich der Strom aus fossilen Brennstoffen 
oder  ganz und gar  von Kernkraftwerken. Noch ist 
Deutschland ein hoch technisiertes Industrieland. Das be

deutet, wir alle sind auf zuverlässige Energie und vor allem 
auf die Stromversorgung angewiesen. 

Bei der Stromversorgung muss man einfach wissen, dass 
sich Stromangebot und -nachfrage zu jedem Zeitpunkt im 
Gleichgewicht befinden müssen. Und, ganz wichtig, liebe 
Grüninnen: Das Stromnetz an sich hat keinerlei Speicherfunktion. 
Das klingt banal, ist aber offensichtlich für einige 
grüne Spitzenpolitiker noch nicht banal genug. Annalena 
Baerbock gab vor ziemlich genau einem Jahr ein Interview 
im Deutschlandfunk  ich zitiere : 

An Tagen wie diesen, wo es grau ist, da haben wir 
natürlich viel weniger erneuerbare Energien. Deswegen 
haben wir Speicher. Deswegen fungiert das Netz 
als Speicher. Und das ist alles ausgerechnet. 

(Heiterkeit AfD) 

In Hessen haben wir es natürlich viel besser. Allein qua 
Amtes  ich denke an den verehrten Herrn Minister Al-
Wazir  scheinen unsere hiesigen GRÜNEN etwas weniger 
auf Kriegsfuß mit den Naturgesetzen und den Grundrechenarten 
zu stehen. Dennoch, fürchte ich, haben wir auch 
hier ein bisschen Aufklärungsarbeit vor uns, und dabei hilft 
die AfD-Fraktion natürlich sehr gerne. 

(Beifall AfD) 

Meine Damen und Herren, ist die Energiewende tatsächlich 
auf einem guten Weg, wie wir in Punkt 3 des vorliegenden 
Antrags lesen müssen? Oder besteht vielmehr 
dringender Handlungsbedarf? Netterweise liefern uns die 
Autoren dieses Antrags selbst im ersten Punkt des Antrags 
vernünftige Kriterien für diese Frage gleich mit: Sicherheit 

 gemeint ist hier Versorgungssicherheit , Umweltfreundlichkeit 
und Bezahlbarkeit. 
Schon die Bibel lehrt uns: An ihren Früchten sollt ihr sie 
erkennen.  Also lassen Sie uns genau das tun und die 
Energiewende unter den drei genannten Aspekten auf ihre 
Früchte untersuchen, z. B. anhand des bereits erwähnten 
Monitoringberichts zur Energiewende in Hessen des Jahres 
2018. 

Zur Beurteilung von Versorgungssicherheit und Netzverfügbarkeit 
hat sich der SAIDI-Wert eingebürgert, um die 
Dauer von Versorgungsunterbrechungen zu messen. Es ist 
bereits darauf verwiesen worden, dass wir uns eigentlich, 
was den SAIDI-Wert angeht, auf gutem Pfad befinden. Für 
Deutschland sinkt er tendenziell, und Hessen bewegt sich 
schon langjährig in einer Bandbreite von etwa acht bis 
zwölf SAIDI-Minuten. Das heißt, empirisch hat die Energiewende 
tatsächlich noch nicht zu steigenden SAIDI-Werten 
und somit schlechterer Netzverfügbarkeit geführt. 

Das klingt erst einmal gut. Aber glauben wir den Übertragungsnetzbetreibern, 
so leidet die Versorgungssicherheit, 
und der Aufwand zur Netzstabilisierung steigt deutlich. So",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.9881
Andreas Lichert,AfD,"Sind Sie sicher, dass die Stoppuhr anfangs auf null stand? 

(Heiterkeit AfD  Jürgen Frömmrich (BÜNDNIS90/DIE GRÜNEN): Wir verfahren hier schon nach 
der Geschäftsordnung des Hessischen Landtags! 
Zweifeln Sie nicht die Entscheidung der Vizepräsidentin 
an!  Günter Rudolph (SPD): Es war eine gefühlte 
Stunde!)",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.9814
Andreas Lichert,AfD,"Na ja, bitte schön.  Meine Damen und Herren, die Energiewende 
bedroht also nicht nur die Versorgungssicherheit. 
Sie ist unökologisch, sie ist ein volkswirtschaftliches Desaster, 
und sie ist zutiefst unsozial, weil sie eine Umverteilung 
von unten nach oben darstellt.  Ich danke Ihnen. 

(Beifall AfD)",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.9758
Klaus Herrmann,AfD,"Ich möchte zur Kenntnis geben: Es war keine Kritik an der 
Präsidentin, sondern es war eine Fragestellung. 

(Vereinzelter Beifall AfD)",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.9762
Andreas Lichert,AfD,"Frau Präsidentin, meine Damen und Herren! Als ich vorhin 
behauptete, dass unsere hiesigen GRÜNEN vielleicht ein 
bisschen weniger auf Kriegsfuß mit den Grundrechenarten 
und den Naturgesetzen stünden, habe ich mich möglicherweise 
ein bisschen weit vorgewagt. Nach dem gerade Gehörten 
muss ich das vielleicht noch einmal überdenken. 

(Beifall AfD) 

Nach allem, was wir hier gehört haben, muss man doch eigentlich 
zu dem Ergebnis kommen: Die Energiewende ist 
bereits gescheitert, es haben nur noch nicht alle gemerkt. 

(Beifall AfD) 

Es gibt den schönen Begriff der normativen Kraft des Faktischen. 
Diese wird auch hier erbarmungslos zuschlagen. 
Um im Bild zu bleiben: Sie wird über kurz oder lang der 
Energiewende einfach den Stecker ziehen. 

Betrachten wir hierzu einmal die Aussage von Svenja 
Schulze, immerhin Bundesumweltministerin, dass der 
Kohlekompromiss keine steigenden Strompreise zur Folge 
haben werde. Insofern lohnt es sich doch noch nicht einmal, 
darüber zu diskutieren. Das ist genau die Ideologie, 
die zu Recht von mehreren anderen Rednern kritisiert wurde. 

Auf der anderen Seite muss man aber doch auch anerkennen, 
dass Deutschland die selbst gesteckten Klimaziele 
deutlich verfehlt. Das ist doppelt gravierend; denn es werden 
immer zuerst die tief hängenden Früchte geerntet. Gerade 
in der Anfangsphase der Energiewende ist es kaum 
gelungen, signifikante CO2-Einsparungen zu erzielen. Was 
macht Sie glauben, dass es zukünftig unter den Bedingungen 
des Naturgesetzes des abnehmenden Grenznutzens 
besser werden wird? 

Der Netzentwicklungsplan 2030 ist in dieser Woche erschienen. 
Auf dem Preisschild steht: 52 Milliarden . Und 
das soll keinen Einfluss auf die Stromkosten haben?  Meine 
sehr verehrten Damen und Herren, wenn das keine Ideologie 
ist, dann weiß ich es auch nicht. 

(Beifall AfD) 

Der Kollege von der CDU-Fraktion hat vehement Ideologiefreiheit 
in dieser Diskussion eingefordert. Ich fürchte, 

 

Sie werden in Ihrer eigenen Partei viel zu tun haben, um 
diese Ideologiefreiheit einzufordern und umzusetzen. 

(Heiterkeit und Beifall AfD) 

Immerhin steht die 10-H-Regelung in Ihrem Wahlprogramm. 
In den Koalitionsvertrag hat sie es leider nicht geschafft. 
Vielleicht war das ein Aufkeimen energiepolitischer 
Vernunft in der CDU. Vielleicht war es aber eher das 
normale Verhalten der CDU; sie hat sich wieder einmal als 
eine Machtmaschine erwiesen. Man verspricht den bürgerlichen 
Wählern, was sie hören wollen, und nach der Wahl 
ist das Versprechen schnurzegal  Hauptsache: Machterhalt. 

(Beifall AfD) 

Meine Damen und Herren, ich weiß nicht, wer für die Strategiefindung 
in der CDU verantwortlich ist, aber ich glaube 
nicht, dass das ein Erfolgsmodell ist. Das kann man 
auch an den hessischen Wahlergebnissen ablesen. 

(Beifall AfD) 

Ich gehe sehr davon aus, dass die CDU dem Weg der anderen 
ehemaligen Volkspartei folgen wird. Die SPD eilt bei 
den Wahlen von einem politischen Nahtoderlebnis zum 
nächsten  und das aus sehr gutem Grund. 

(Heiterkeit und Beifall AfD) 

Meine Damen und Herren, die SPD hat es in den letzten 
Jahrzehnten regelmäßig geschafft, die elementaren Interessen 
der kleinen Leute völlig zu missachten  um nicht zu 
sagen: mit Füßen zu treten und zu verraten. 

(Beifall AfD) 

Deshalb treten die Wähler konsequenterweise die Flucht 
an. 

Die CDU hat das Gleiche mit den Konservativen und den 
Bürgerlichen getan. Der einzige Unterschied, der dazu 
führt, dass die CDU bisher besser dasteht, ist, dass der arme 
Wähler bis vor Kurzem zur Logik des kleineren Übels 
verurteilt war, weil er schlicht keine ernst zu nehmende Alternative 
im bürgerlichen Lager hatte. 

(Beifall AfD) 

Diese Alternative für Deutschland gibt es jetzt: Wir sind 
da.  Danke schön. 

(Heiterkeit und Beifall AfD)",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.9883
Arno Enners,AfD,"Herr Präsident, sehr geehrte Kolleginnen und Kollegen! 
Dass es in Hessen immer noch die Gesetzeslage zum Einfordern 
von Straßenausbaubeiträgen gibt, hat im Laufe der 
Zeit zu hohen finanziellen Belastungen für die von den Regelungen 
betroffenen Bürger  wir reden hier von Belastungen 
bis zu mehreren 10.000   geführt. Andere Bundesländer 
machen es vor, dass es mit etwas gutem Willen 
durchaus leistbar ist, die Belastung der Bürger durch den 
kommunalen Straßenbau erst gar nicht entstehen zu lassen. 
Schauen wir in Art. 137 Abs. 5 der Hessischen Verfassung. 
Dort ist unter anderem unmissverständlich aufgeführt, dass 
der Staat den Gemeinden und Gemeindeverbänden die zur 
Durchführung ihrer eigenen und der übertragenen Aufgaben 
erforderlichen Geldmittel im Wege des Lasten- und Finanzausgleichs 
zur Verfügung zu stellen hat. Somit kann 
es gar nicht anders sein, als dass man sich im Sinne der 
Hessischen Verfassung für einen Weg entscheidet, der als 
Ziel das Wohl des hessischen Bürgers vor Augen hat. 

(Beifall AfD) 

Ob junge Menschen, die sich zur Familiengründung ein 
Haus gekauft haben, oder ältere Menschen, die sich ein 
Haus für ein ruhiges und schuldenfreies Leben im Alter 

 

erarbeitet haben  es sind alles Menschen, deren Lebensplanung 
und Lebensleistung geschätzt und vor allem geschützt 
werden müssen. Diese Menschen dürfen eben nicht 
durch eine Straßenbeitragssatzung und die damit verbundene 
Umlegung der Kosten auf die Anwohner möglicherweise 
in eine zusätzliche langjährige finanzielle Belastung gedrängt 
werden. Ich wiederhole: Nicht selten ist diese Belastung 
ein hoher fünfstelliger Betrag. 

Meine Damen und Herren, bedenken Sie, dass viele Bürger 
in Hessen von Altersarmut bedroht sind und somit der 
mögliche Verlust des erarbeiteten Eigenheims durch eine 
staatliche Maßnahme noch befördert werden kann. Auch 
die 2018 beschlossene Zinssenkung und die Verlängerung 
der Abtragszeit auf 20 Jahre können die Not nicht lindern, 
in die die Menschen durch die Straßenbeitragssatzung teilweise 
gebracht werden. Dabei kommt noch in Betracht, 
dass nach § 11a Abs. 6 KAG bei Heranziehung zur erneuten 
Zahlung zur Straßensanierung die Zeit von 25 Jahren 
nicht überschritten werden soll. Das kann im Umkehrschluss 
bedeuten, dass der Bürger unter bestimmten Umständen 
aus dieser Schuldenfalle überhaupt nicht mehr herauskommt. 

Die Förderung mit 20.000  pro Abrechnungsgebiet ist da 
wirklich nur der berühmte Tropfen auf den heißen Stein, 
wenn der einzelne Bürger mit dem gut vierfachen Beitrag 
belastet werden kann. 

Uns mutet es auch sehr grotesk an, wenn Menschen, die 
bereits das 70. oder 80. Lebensjahr erreicht oder überschritten 
haben, eine Ratenzahlung von über 20 Jahren angeboten 
bekommen. Diese Vorgehensweise lässt jeden 
Respekt vor den Menschen vermissen und ist alles andere 
als bürgerfreundlich. 

(Beifall AfD) 

Es darf auch nicht sein, dass man in diesem Hohen Hause 
einfach nur zuschaut, wie sich in Hessen Bürgerinitiativen 
und Gemeinden in langwierigen Prozessen vor Verwaltungsgerichten 
um die Straßenbeitragssatzung aufreiben, 
wenn es parallel dazu andere Kommunen gibt, die Straßenausbaubeiträge 
freiwillig abschaffen. 

Wir von der AfD fordern die Landesregierung auf, dieses 
entstehende Ungleichgewicht zwischen den Kommunen 
mit und ohne Straßenbeitragsforderung so zu ändern, dass 
die bestehende Gesetzeslage dahin gehend geändert wird, 
dass die Kosten für den kommunalen Straßenbau vollständig 
vom Land übernommen werden. 

(Beifall AfD) 

Die AfD lehnt gleichzeitig die Möglichkeit der wiederkehrenden 
Straßenbeiträge ab. Auch wenn es nach außen 
schön verkauft werden kann, es bleibt die Tatsache, dass 
der dabei entstehende bürokratische Aufwand, wie wir bereits 
gehört haben, viel zu hoch wäre und den größten Teil 
der erzielten Einnahmen verschlingen würde. Es ist somit 
mehr als richtig, dass dieses bürgerunfreundliche Gesetz 
nun endlich abgeschafft werden soll. 

(Beifall AfD) 

Aus diesem Grund unterstützt die AfD-Fraktion diese Gesetzesvorlage 
der SPD in allen Punkten. Wir hoffen, dass 
sich die Befürworter der Straßenbeitragssatzung eines Besseren 
besinnen werden.  Vielen Dank. 

(Beifall AfD)",20.0,2.0,2019-02-05,047461152_20_2019-24_pdf_002,NON_HATE,0.9884
