name,count,top_party
Yanki Pürsün,28,LINKE
Jan Schalauske,25,LINKE
Günter Rudolph,24,AfD
Volker Richter,24,AfD
Im Präsidium,23,unbekannt
Robert Lambrou,21,LINKE
Saadet Sönmez,19,unbekannt
Torsten Felstehausen,18,AfD
Hermann Schaus,17,SPD
Jürgen Frömmrich,17,CDU
Wiebke Knell,16,LINKE
Christiane Böhm,14,LINKE
Elisabeth Kula,14,LINKE
Heike Hofmann,13,unbekannt
Stefan Müller,13,GRÜNE
Alexander Bauer,13,SPD
Felix Martin,12,LINKE
Amtliche Mitteilungen,12,CDU
Abwesende Abgeordnete,11,unbekannt
Rolf Kahnt,11,unbekannt
Holger Bellino,10,CDU
Klaus Gagel,10,AfD
Eva Goldbach,10,CDU
Arno Enners,10,unbekannt
Marcus Bocklet,10,CDU
Claudia Ravensburg,10,CDU
Marius Weiß,10,GRÜNE
Mathias Wagner,10,CDU
Janine Wissler,10,SPD
Jürgen Lenders,9,CDU
Thomas Hering,9,AfD
Tobias Eckert,9,unbekannt
Lisa Gnadl,8,AfD
Moritz Promny,8,CDU
Gerhard Schenk,8,unbekannt
Michael Reul,7,CDU
Heiko Scholz,7,unbekannt
Daniel May,7,unbekannt
Markus Hofmann,7,unbekannt
Kathrin Anders,7,unbekannt
Dimitri Schulz,7,unbekannt
Martina Feldmayer,7,unbekannt
Turgut Yüksel,7,AfD
Michael Ruhl,7,unbekannt
Heinz Lotz,6,SPD
Christian Heinz,6,unbekannt
Dirk Gaw,6,CDU
Miriam Dahlke,6,unbekannt
Andreas Lichert,6,unbekannt
Heiko Kasseckert,6,CDU
