id,label_runde1
1,NON_HATE
2,NON_HATE
3,NON_HATE
4,NON_HATE
5,HATE
6,HATE
7,HATE
8,NON_HATE
9,HATE
10,HATE
11,HATE
12,HATE
13,NON_HATE
14,HATE
15,NON_HATE
16,HATE
17,NON_HATE
18,NON_HATE
19,HATE
20,HATE
21,NON_HATE
22,NON_HATE
23,HATE
24,HATE
25,NON_HATE
26,HATE
27,HATE
28,NON_HATE
29,HATE
30,NON_HATE
31,HATE
32,NON_HATE
33,NON_HATE
34,HATE
35,NON_HATE
36,HATE
37,NON_HATE
38,NON_HATE
39,HATE
40,HATE
41,NON_HATE
42,HATE
43,HATE
44,NON_HATE
45,HATE
46,HATE
47,NON_HATE
48,HATE
49,NON_HATE
50,HATE
51,HATE
52,HATE
53,HATE
54,HATE
55,HATE
56,NON_HATE
57,HATE
58,NON_HATE
59,HATE
60,NON_HATE
61,NON_HATE
62,NON_HATE
63,NON_HATE
64,HATE
65,NON_HATE
66,NON_HATE
67,NON_HATE
68,NON_HATE
69,NON_HATE
70,NON_HATE
71,NON_HATE
72,HATE
73,NON_HATE
74,NON_HATE
75,NON_HATE
76,NON_HATE
77,NON_HATE
78,HATE
79,NON_HATE
80,NON_HATE
81,NON_HATE
82,NON_HATE
83,HATE
84,HATE
85,HATE
86,NON_HATE
87,HATE
88,HATE
89,HATE
90,NON_HATE
91,NON_HATE
92,NON_HATE
93,NON_HATE
94,NON_HATE
95,HATE
96,NON_HATE
97,NON_HATE
98,HATE
99,NON_HATE
100,NON_HATE
