speaker,party,datum,ft_label,ft_score,text,human_label,notes
Heike Hofmann (Weiterstadt),SPD,2023-06-29,NON_HATE,0.9787," einen Satz noch : Wir als SPD wollen Fluchtursachen 
bekämpfen und, im Gegensatz zu Ihnen, nicht Geflüchtete. 
(Beifall SPD  Zurufe Holger Bellino (CDU) und 
Robert Lambrou (AfD))",,
Klaus Herrmann,AfD,2019-12-11,NON_HATE,0.9818,"Letzter Satz: Wir fordern die Landesregierung auf, nicht 
nur bis zu 80 Abschiebehaftplätze zu schaffen, sondern 
mehrere Hundert, und das schnellstmöglich, und zwar im 
Interesse unserer Bürger und unseres Landes.  Danke. 

(Beifall AfD)",,
Saadet Sönmez,DIE LINKE,2019-10-31,NON_HATE,0.9778,"Das sind sinnvolle Maßnahmen, derer sich auch die Hessische 
Landesregierung bedienen könnte, wenn sie es denn 
wirklich ernst meint mit der gelungenen Integration der geflüchteten 
Menschen.  Vielen Dank für Ihre Aufmerksamkeit. 

(Beifall DIE LINKE)",,
Volker Richter,AfD,2023-06-29,NON_HATE,0.9811,"Ja, ich höre sofort auf.  Wenn Sie nicht bei den Fluchtursachen 
ansetzen und weiter Waffen aus Deutschland geliefert 
werden, dann wird es immer mehr Flüchtlinge geben. 
Das müssen wir verändern, und nichts anderes.  Danke. 

(Beifall AfD  Zuruf) 

 
11401",,
Dimitri Schulz,AfD,2022-07-14,NON_HATE,0.9759,"Hier kommen die ganzen Fremdenfeinde und Ausländerfeinde 
aus ihren Löchern hervorgekrochen. 

(Lachen  Stephan Grüger (SPD): Das Präsidium zu 
beschimpfen!  Weitere Zurufe) 

Es ist nun mal so, dass im Schwabenland kein Hochdeutsch 
gesprochen werden kann. 

(Zurufe)",,
Saadet Sönmez,DIE LINKE,2019-12-11,NON_HATE,0.9811,"Das ist Wortbruch, was hier begangen wird, und deshalb 
fordern wir, die Abschiebeknäste zu schließen. Wir fordern 
eine Wende in der Flüchtlingspolitik hin zu einer humanitären 
und solidarischen Gesellschaft.  Vielen Dank für Ihre 
Aufmerksamkeit. 

(Beifall DIE LINKE)",,
Jan Schalauske,DIE LINKE,2023-07-20,NON_HATE,0.9778,"Ich komme zum Schluss.  Als LINKE werden wir den 
Protest gegen die Entrechtung von Schutzsuchenden unterstützen 
und uns weiterhin für eine humanitäre Flüchtlingspolitik 
einsetzen. Darauf können sich die Menschen in 
Hessen verlassen. Das gilt für DIE LINKE ohne Wenn und 
Aber. 

(Beifall DIE LINKE)",,
Saadet Sönmez,DIE LINKE,2020-10-01,NON_HATE,0.9787,"Herr Präsident, das sind meine letzten Sätze.  Die Schuldigen 
für die Hölle sind nicht die Migranten. Das muss 
man immer wieder verdeutlichen. Die Schuldigen sitzen in 
den Mitgliedstaaten der Europäischen Union. Denn sie haben 
diese Hölle geschaffen. Ich finde, da gibt es überhaupt 
nichts zu lachen. 

(Beifall DIE LINKE)",,
Saadet Sönmez,DIE LINKE,2019-02-28,NON_HATE,0.9799,"Ich komme zum Schluss.  Herr Beuth, Ihre Politik ist unmenschlich; 
und aus diesem Grunde muss die Abschiebepolitik, 
die Sie betreiben, abgeschafft werden. Ihre Politik 
ist unmenschlich und nicht minder unverantwortlich. Wir 

 

müssen dieser Abschiebepolitik ein Ende setzen.  Vielen 
Dank für Ihre Aufmerksamkeit. 

(Beifall DIE LINKE)",,
Thomas Hering,CDU,2022-11-17,NON_HATE,0.9841,"Sehr geehrte Frau Präsidentin, inhaltlich kann man unterschiedlicher 
Meinung sein. Aber hierin steckt eine Wertung, 
die unser gesamtes Land betrifft, wenn von Abschiebewut 
unseres Staates, unserer Gesellschaft gesprochen 
wird. Das möchte ich nicht so stehen lassen in diesem 
Raume. 

(Beifall CDU, vereinzelt BÜNDNIS 90/DIE GRÜNEN 
und Rolf Kahnt (fraktionslos))",,
Klaus Herrmann,AfD,2021-02-04,NON_HATE,0.9825,"Dazu gehören die Integrationsfähigkeit, berufliche Qualifikationen, 
Sprachkenntnisse und natürlich ein Arbeitsplatzangebot. 

Ich komme zu meinem letzten Satz. Die Einbürgerung mit 
dem Erhalt der deutschen Staatsbürgerschaft kann dann der 

5244 
 

krönende Abschluss einer erfolgreichen Einwanderung und 
Integration sein, aber nicht umgekehrt.  Danke. 

(Beifall AfD)",,
Heike Hofmann (Weiterstadt),SPD,2023-05-25,NON_HATE,0.986,"In Bezug auf Ihren Bundesvorsitzenden und Vorsitzenden 
der Bundestagsfraktion Friedrich Merz, der hier auch zu 
Gast war, frische ich noch einmal Ihr Erinnerungsvermögen 
auf und verweise auf 1999 mit Ihrer Schmutzkampagne 
zur doppelten Staatsbürgerschaft: Wo kann man 
hier gegen Ausländer unterschreiben?. Erinnern Sie sich 
daran, und wie stehen Sie dazu? 

(Zurufe CDU)",,
Eva Goldbach,BÜNDNIS 90/DIE GRÜNEN,2020-01-29,NON_HATE,0.9862,"Dort müssen wir miteinander auskommen, und dort müssen 
wir eben widersprechen gegen pauschal diffamierendeÄußerungen gegen Ausländer und Ausländerinnen, gegen 
rassistische Witze, frauenfeindliche Witze, und vor allem 
müssen wir widersprechen, wenn antisemitische Äußerungen 
gemacht werden; denn das wollen wir in Deutschland 
nicht dulden. 

(Beifall BÜNDNIS 90/DIE GRÜNEN und CDU)",,
Taylan Burcu,BÜNDNIS 90/DIE GRÜNEN,2019-09-03,NON_HATE,0.9846,"Ich frage die Landesregierung: 

Liegen aus der Stadt Frankfurt für 2019 Förderanträge für 
das vom Land geförderte WIR-Fallmanagement für Geflüchtete 
vor?",,
Dr. Dr. Rainer Rahn,fraktionslos,2023-03-21,NON_HATE,0.9835,"Ich frage die Landesregierung: 

Welche konkreten Forderungen hat sie im Rahmen des 
Flüchtlingsgipfels am 16. Februar 2023 an die Bundesregierung 
gestellt?",,
Frage 141  Taylan Burcu,BÜNDNIS 90/DIE GRÜNEN,2019-09-03,NON_HATE,0.9798,"Ich frage die Landesregierung: 

Wie unterstützt sie ältere Geflüchtete, die keine Ausbildung 
mehr aufnehmen können, bei ihrer Integration in den Arbeitsmarkt?",,
Alexander Bauer,CDU,2022-02-01,NON_HATE,0.9774,"Ich frage die Landesregierung: 

In welchen hessischen Kommunen wurden zur Ergänzung 
des Partizipationsmodells der Ausländerbeiräte Integrationskommissionen 
eingerichtet?",,
Saadet Sönmez,DIE LINKE,2022-12-06,NON_HATE,0.9036,"Danke sehr, Frau Präsidentin.  Herr Minister, können Sie 
uns über das Ergebnis der Innenministerkonferenz bezüglich 
der Aussetzung der Abschiebungen in den Iran aufklären?",,
