text,label,max_sent
"Antrag verabschiedet und die Landesregierung einstimmig
gebeten haben, eine Anordnung zu treffen, damit Syrer, die
in unserem Land leben, die Chance bekommen, Angehöri-
ge zu sich zu holen. Das haben wir an Kriterien gebunden.
Das ist so weit einvernehmlich geschehen, und das ist gut
so.
Aber nachdem das Ministerium die Anordnung veröffent-
licht hat, ist uns durch die Reaktion von Flüchtlingsorgani-
sationen, mehr noch aber der Wohlfahrtsverbände und mir
zuletzt auch durch Kirchengemeinden – die Domgemeinde
in Wetzlar an erster Stelle – bald deutlich gemacht worden,
dass sie bei allem Engagement, das sie zeigen, bei allem,
was sie selbst einzubringen bereit sind, an Grenzen stoßen.
Die Hauptgrenze, an die sie stoßen, ist die Krankenversi-
cherung. Diese kann niemand von den Genannten überneh-
men, in den allerwenigsten Fällen können es die hier le-
benden Angehörigen der Syrer tun. Aus diesem Grund ha-
ben wir den Dringlichen Antrag nachgeschoben, um an
dieser Stelle analog die Regelungen im Asylbewerberleis-
tungsgesetz anzuwenden. Das ist der inhaltliche Punkt, um
den es geht.
Den zweiten Teil will ich nutzen, um etwas zum Verfahren
zu sagen. Alle Betroffenen und die Kolleginnen",HATE,60
"Dem stellen wir uns als AfD entgegen, und zwar gemeinsam 
mit sehr vielen Migranten, die nämlich aus genau dem 
Grund so gern in Hessen leben, weil sie hier frei sein dürfen, 
und es ablehnen, wie in ihrer Heimat von der Politik 
oder von religiösen Eiferern gemaßregelt und gegängelt zu 
werden. Sie von den etablierten Parteien wären überrascht, 
wie viele Migranten Anhänger der AfD sind, und noch 
mehr wären Sie überrascht, dass bei diesen nicht wir als 
Rassisten gelten, sondern diejenigen, die mit ihrer Doppelmoral 
die Migranten hofieren, die exakt jene Missstände",HATE,50
"Anmerken möchte ich an dieser Stelle noch, dass wir vergleichbare 
Maßnahmen parallel zu Personalaufstockungen 
in allen sicherheitsrelevanten Bereichen, insbesondere 
auch im Bereich der Justiz, für notwendig erachten und uns 
entsprechend einsetzen werden. So fordert z. B. der Deutsche 
Richterbund mindestens 2.000 zusätzliche Stellen für 
Richter und Staatsanwälte mit dem Hinweis, dass viele 
Prozesse erst Jahre nach der Tataufdeckung starteten und 
jede Woche mindestens ein Tatverdächtiger wegen zu langer 
Verfahrensdauer aus der U-Haft entlassen werden müsse.

In diesem Bereich besteht auch ein dringend zu lösendes 
Problem, für das wir im Gegensatz zu den Regierungsparteien 
und den sogenannten Oppositionsparteien SPD, FDP 
und LINKE sofort finanzielle Mittel bereitstellen wollen, 
nämlich für die Schaffung weiterer Abschiebehaftplätze, 
die in Anbetracht der hohen Anzahl ausreisepflichtiger, 
aber -unwilliger Ausländer dringend notwendig sind.",HATE,50
"Hessischer Landtag · 18. Wahlperiode · 62. Sitzung · 15. Dezember 2010
 
dass gerade in Hessen eine vorbildliche Integration der
Vertriebenen in die Gesellschaft gelungen war. Dass mit
großen Kraftanstrengungen diese Menschen in ihrer völ-
lig neuen Heimat tatsächlich eine Heimat gefunden ha-
ben, zeigt sich heute noch am Hessentag, der aufgrund der
Vielfältigkeit der Vertriebenen, die hier in Hessen leb -
ten – –
Vizepräsidentin Sarah Sorge:
Herr Sürmann, entschuldigen Sie ganz kurz. – Ich weiß,
dass es schon spät ist. Nichtsdestotrotz hat auch dieser
Redner es verdient, dass wir ihm zuhören. Also darf ich
Sie bitten, etwas mehr Ruhe im Saal einkehren zu lassen.
Herzlichen Dank.
Frank Sürmann (FDP): 
Die Interessierten hören zu, das merke ich schon. – Die
Forderungen wurden im Lastenausgleichsgesetz von 1952
und ein Jahr später im Bundesvertriebenengesetz von
1953 im Wesentlichen erfüllt. 
Die Charta ist für mich ein früher Meilenstein auf dem
Weg der Aussöhnung zwischen den Vertriebenen und Ver-
treibern, aber auch zwischen den sogenannten Binnen-
deutschen und den Millionen Flüchtlingen. Die Charta ist
ein Dokument der Versöhnung, zur Integration und zum
Wiederaufbau.
Die Opferr",HATE,48
"20. Wahlperiode 
Plenarprotokoll 20/111 

HESSISCHER LANDTAG 

14. 07. 2022 

111. Sitzung 
Wiesbaden, den 14. Juli 2022 

Amtliche Mitteilungen........................................8815 
59. 
AntragFraktion DIE LINKE

Entgegengenommen.............................................8816 

Mehr Personal an der Uniklinik Frankfurt 
Vizepräsident Frank Lortz...................................8815 
einstellen 
Holger Bellino.....................................................8815 
 Drucks. 20/8770 .............................................8825 
Jürgen Frömmrich................................................8815 

Dem Ausschuss für Wissenschaft und Kunst,

Präsidentin Astrid Wallmann...............................8937 

federführend, und dem Sozial-und Integrationspolitischen 
Ausschuss, beteiligt, überwie

76. 
Antrag Aktuelle Stunde 
sen........................................................................8832 
Fraktion der AfD 
Axel Gerntke........................................................8825

Das sogenannte Chancen-Aufenthaltsrecht 

Dr. Ralf-Norbert Bartelt.......................................8826

der Ampel  auch Schwarz-Grün in Hessen 

Claudia Papst-Dippel...........................................8827

setzt neue Anreize für Massenmigration 

Lisa Deißler.........................................................8828

 Drucks. 20/8808 .............................................8816 

Dr. Daniela Sommer............................................8829 
Abgehalten...........................................................8825 
Daniel May..........................................................8830 
Ministerin Angela Dorn.......................................8831

Robert Lambrou......................................... 
8816, 8825 
Thomas Hering....................................................8817 
Heike Hofmann (Weiterstadt)..............................8818 
78. 
Antrag Aktuelle Stunde 
Yanki Pürsün........................................................8819 
Fraktion der Freien Demokraten 
Saadet Sönmez.....................................................8821 
Staat muss als Dienstleister von Bürgerin-
Marcus Bocklet....................................................8822 
nen und Bürgern auftreten  Fehler der 
Rolf Kahnt...........................................................8823 
Grundsteuerreform aufarbeiten 
Minister Peter Beuth............................................8824 
 Drucks. 20/8819 .............................................8832 

Abgehalten...........................................................8841 

77. 
Antrag Aktuelle Stunde 
90. 
Dringlicher Antrag
Fraktion DIE LINKE 

Fraktion der Freien Demokraten 

Solidarität mit den Beschäftigten am Uni-

Staat muss als Dienstleister der Bürgerin

klinikum Frankfurt am Main  Landesre

nen und Bürger auftreten  Fehler der

gierung muss für mehr Personal sorgen 

Grundsteuerreform aufarbeiten 

 Drucks. 20/8809 .............................................8825 

 Drucks. 20/8829 .............................................8832 
Abgehalten...........................................................8832 

Dem Haushaltsausschuss überwiesen..................8841 

Ausgegeben am 16. September 2022 
Hessischer Landtag, Postfach 3240, 65022 Wiesbaden",HATE,44
"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das durch die Inflationseffekte kräftig in die öffentlichen 
Kassen sprudelt, seinen Bürgern eigentlich zurückgeben 
und dürfte es nicht für zusätzliche Migration verpulvern.",HATE,41
"Michael Boddenberg (CDU):
Herr Präsident, meine sehr geehrten Damen und Herren!
Lieber Herr Kollege Rock, ich stelle Ihnen eine Frage,
nämlich die Frage, ob Sie es wirklich für angemessen hal-
ten, dass wir in einer Aktuellen Stunde mit fünf Minuten
Redezeit zwei so hochkomplexe Bereiche der Arbeits-
markt- und Asylpolitik zusammenführen.
(René Rock (FDP): Das ist eine Frage der Haltung!)
Ich bin der Meinung, das ist völlig unangemessen.
(Beifall bei der CDU und dem BÜNDNIS 90/DIE
GRÜNEN)
Sie haben alles hineingerührt, was Ihnen so gerade einge-
fallen ist, von Sami A. bis hin zu kriminellen Menschen,
die zu uns gekommen sind und des Landes verwiesen wer-
den müssen. Über das eigentliche Thema Fachkräfte haben
Sie eigentlich gar nicht gesprochen. Sie wollen völlig of-
fenkundig nur noch einmal kurz vor der Wahl ein paar
Punkte sammeln. Ich sage Ihnen, das wird Ihnen nicht ge-
lingen.
(Beifall bei der CDU und dem BÜNDNIS 90/DIE
GRÜNEN – Dr. h.c. Jörg-Uwe Hahn (FDP): Oh!)
Wir haben es mit zwei sehr komplexen Themenbereichen
zu tun. Es ist sicherlich Konsens, dass wir schneller wer-
den müssen bei der Bearbeitung von Asylverfahren. Das
gelingt übrigens in Gießen auf hervorragende Art ",HATE,40
"setzen Sie sich an die Spitze einer Bewegung, gerade 
in diesen Zeiten, in denen die Bürger Hessens überlegen 
müssen, wie sie mit Inflation und Gasknappheit überleben 
können, in diesen Zeiten, in denen das Land erneut mit 
Migranten geflutet wird,",HATE,39
@BILD Wenn man den Zulieferern die Preise diktiert braucht man sich nicht zu wundern wenn diese die Produktion mit Zeitarbeiter und billige Migranten ausführen lassen .Das Qualitätsmerkmal „Made in Germany“ ist passe‘ Wir sind genauso Schlecht wie die Asiaten.,HATE,39
"11340 
Hessischer Landtag · 20. Wahlperiode · 138. Sitzung · 29. Juni 2023 

Frank-Peter Kaufmann.......................................11370 
Tobias Utter........................................................11370 
Dr. Ulrich Wilken...............................................11371 
Gernot Grumbach...............................................11371 
Dr. Stefan Naas..................................................11372 

70. 
Antrag Aktuelle StundeFraktion der CDU 
Sicherheit der Bürgerinnen und Bürgerdarf nicht durch Wahlkampftaktik der hessischen 
SPD gefährdet werden  Möglichkeiten 
des EuGH-Urteils endlich ausschöpfen! 
 Drucks. 20/11272 ........................................11373 
Abgehalten.........................................................11381 

Thomas Hering...................................................11373 
Torsten Felstehausen..........................................11374 
Heike Hofmann (Weiterstadt)............................11375 
Mathias Wagner (Taunus)..................................11376 
Dirk Gaw............................................................11377 
Dr. h.c. Jörg-Uwe Hahn.....................................11378 
Minister Prof. Dr. Roman Poseck......................11379 

71. 
Antrag Aktuelle StundeFraktion BÜNDNIS 90/DIE GRÜNENVeränderung schafft Sicherheit  gemeinsam 
die Herausforderungen der ökologischen 
und ökonomischen Transformation 
in Hessen meistern 
 Drucks. 20/11273 ........................................11381 
Abgehalten.........................................................11388 

Martina Feldmayer.............................................11381 
Andreas Lichert..................................................11382 
Lena Arnoldt......................................................11383 
Dr. Stefan Naas......................................11384, 11388 
Tobias Eckert......................................................11385 
Axel Gerntke......................................................11386 
Minister Tarek Al-Wazir....................................11386 

53. 
AntragFraktion DIE LINKE 
Menschenrechte verteidigen, das Recht aufAsyl bewahren und menschenwürdige Aufnahmebedingungen 
schaffen  in Hessen 
und ganz Europa!
 Drucks. 20/11221 ........................................11388 
Dem Innenausschuss überwiesen......................11406 

Elisabeth Kula........................................11388, 11393, 
11402 
Volker Richter........................................11390, 11400, 
11402 
Nadine Gersberg....................................11392, 11394 
Yanki Pürsün......................................................11394 
Thomas Hering.......................................11396, 11398, 
11405 
Heike Hofmann (Weiterstadt)................11397, 11405 
Holger Bellino........................................11398, 11405 
Mathias Wagner (Taunus)..................................11398 
Minister Peter Beuth..........................................11401 
Gernot Grumbach...............................................11404 

52. 
AntragFraktion der AfD 
Einführung eines Gebäudetyps E Drucks. 20/11220 ........................................11406 
Abgelehnt...........................................................11414 

Dimitri Schulz....................................................11406 
Jan Schalauske...................................................11408 
Elke Barth..........................................................11409 
Hildegard Förster-Heldmann.............................11410 
Dr. Stefan Naas..................................................11411 
Heiko Kasseckert...............................................11412 
Minister Tarek Al-Wazir....................................11412 

Abstimmungsliste...............................................11461 

59. 
AntragFraktion der Freien Demokraten 
Innovative Lösungen statt Verbote in der 
Wärmversorgung  Potenzial der Geothermie 
in Hessen nutzen 
 Drucks. 20/11234 ........................................11414 
Dem Ausschuss für Wirtschaft, Energie, Verkehr 
und Wohnen überwiesen............................11424 

76. 
Dringlicher EntschließungsantragFraktion der CDU, Fraktion BÜNDNIS 90/
DIE GRÜNEN 
Geothermie ist selbstverständlicher Bestandteil 
der Energiewende in Hessen Drucks. 20/11302 ........................................11414 
Dem Ausschuss für Wirtschaft, Energie, Verkehr 
und Wohnen überwiesen............................11424 

Dr. Stefan Naas......................................11414, 11424 
Axel Gerntke......................................................11416 
Kaya Kinkel.......................................................11417 
Andreas Lichert..................................................11419 
Stephan Grüger..................................................11420 

J. Michael Müller (Lahn-Dill)............................11420 
Minister Tarek Al-Wazir....................................11422 
14. 
Zweite LesungGesetzentwurf 
LandesregierungGesetz zur Änderung des Hessischen 
Gleichberechtigungsgesetzes Drucks. 20/11201 
zu Drucks. 20/9589 .......11424 
Nach zweiter Lesung dem Sozial-und Integrationspolitischen 
Ausschuss zurücküberwiesen......................................................................11434 

15. 
Zweite LesungGesetzentwurf 
Fraktion der SPD 
Gesetz zur Verwirklichung der Gleichberechtigung 
von Frauen und Männern Drucks. 20/11202 
zu Drucks. 20/10510 .....11424 
Nach zweiter Lesung dem Sozial-und Integrationspolitischen 
Ausschuss zurücküberwiesen......................................................................11434",HATE,38
