adjective,total,in_hate,hate_ratio
aktuelle,146,22,15.068493150684931
gescheiterte,14,1,7.142857142857142
große,242,12,4.958677685950414
zunehmend,31,1,3.225806451612903
humanitäre,89,2,2.247191011235955
ausländischen,85,1,1.1764705882352942
schnell,101,1,0.9900990099009901
sozialen,103,1,0.9708737864077669
notwendig,112,1,0.8928571428571428
europäische,131,1,0.7633587786259541
politischen,135,1,0.7407407407407408
politische,163,1,0.6134969325153374
vielen,554,3,0.5415162454873645
deutschen,207,1,0.4830917874396135
gut,348,1,0.28735632183908044
wichtigen,30,0,0.0
steigenden,24,0,0.0
wirtschaftlichen,24,0,0.0
zusätzlich,50,0,0.0
kleiner,6,0,0.0
schwach,6,0,0.0
arbeitslos,5,0,0.0
gescheiterten,13,0,0.0
bestehende,56,0,0.0
kleine,36,0,0.0
gesteuerte,13,0,0.0
steigende,22,0,0.0
integrierte,14,0,0.0
alten,8,0,0.0
reguläre,11,0,0.0
gefährlich,12,0,0.0
aktuell,122,0,0.0
wichtig,209,0,0.0
zusätzlichen,20,0,0.0
schwierigen,22,0,0.0
legalen,16,0,0.0
deutsch,55,0,0.0
langsam,11,0,0.0
nationale,13,0,0.0
europäischen,355,0,0.0
kriminelle,6,0,0.0
positiv,8,0,0.0
wirtschaftliche,20,0,0.0
fremde,8,0,0.0
notwendige,32,0,0.0
schwachen,13,0,0.0
hohe,61,0,0.0
alt,11,0,0.0
guter,28,0,0.0
hoher,23,0,0.0
gute,142,0,0.0
erfolgreiche,17,0,0.0
gesellschaftlich,16,0,0.0
viel,313,0,0.0
bestehend,9,0,0.0
anerkannt,36,0,0.0
großen,120,0,0.0
sozial,26,0,0.0
wenige,57,0,0.0
gesellschaftliche,32,0,0.0
legal,9,0,0.0
falsche,35,0,0.0
wenig,116,0,0.0
deutscher,23,0,0.0
ausreisepflichtigen,56,0,0.0
guten,38,0,0.0
langen,15,0,0.0
kurzer,12,0,0.0
anerkannte,11,0,0.0
schutzbedürftigen,22,0,0.0
großer,67,0,0.0
integriert,98,0,0.0
sichere,70,0,0.0
aktuellen,122,0,0.0
deutsche,217,0,0.0
schutzbedürftige,13,0,0.0
qualifiziert,10,0,0.0
erfolgreich,27,0,0.0
zunehmende,10,0,0.0
niedrig,6,0,0.0
anerkannten,11,0,0.0
arbeitslose,7,0,0.0
ausreisepflichtig,25,0,0.0
lang,43,0,0.0
illegale,78,0,0.0
schwierig,34,0,0.0
regulären,11,0,0.0
sicher,95,0,0.0
falschen,36,0,0.0
schutzbedürftig,11,0,0.0
qualifizierten,17,0,0.0
gesellschaftlichen,70,0,0.0
zusätzliche,43,0,0.0
starken,10,0,0.0
zunehmenden,5,0,0.0
qualifizierte,60,0,0.0
gefährliche,10,0,0.0
gescheitert,20,0,0.0
viele,589,0,0.0
vieler,49,0,0.0
ausländische,31,0,0.0
neue,162,0,0.0
notwendigen,22,0,0.0
alte,12,0,0.0
geordnet,7,0,0.0
illegaler,16,0,0.0
ausreisepflichtige,27,0,0.0
falsch,69,0,0.0
kriminell,9,0,0.0
unkontrollierte,18,0,0.0
unkontrollierten,14,0,0.0
humanitär,11,0,0.0
gefährlicher,5,0,0.0
politisch,74,0,0.0
schwierige,13,0,0.0
niedrigen,9,0,0.0
hoch,80,0,0.0
humanitären,53,0,0.0
jungen,43,0,0.0
lange,125,0,0.0
internationalen,48,0,0.0
verfolgten,12,0,0.0
niedrige,7,0,0.0
hohen,61,0,0.0
geordneten,12,0,0.0
massenhafte,7,0,0.0
illegalen,30,0,0.0
abgelehnten,15,0,0.0
berechtigt,14,0,0.0
geordnete,18,0,0.0
illegal,17,0,0.0
fremden,7,0,0.0
groß,22,0,0.0
positive,17,0,0.0
soziale,56,0,0.0
verfolgte,17,0,0.0
wertvollen,7,0,0.0
kurz,69,0,0.0
wenigen,56,0,0.0
schnellen,26,0,0.0
verfolgt,32,0,0.0
international,16,0,0.0
willkommen,27,0,0.0
neuen,124,0,0.0
neuer,15,0,0.0
neu,75,0,0.0
sicherer,11,0,0.0
bestehenden,33,0,0.0
junger,25,0,0.0
klein,5,0,0.0
starke,21,0,0.0
wertvolle,6,0,0.0
kriminellen,13,0,0.0
legale,26,0,0.0
straffällig,13,0,0.0
wirtschaftlich,8,0,0.0
wichtige,108,0,0.0
abzuschieben,8,0,0.0
kleinen,29,0,0.0
langer,5,0,0.0
sicheren,86,0,0.0
abgelehnt,75,0,0.0
junge,51,0,0.0
internationale,27,0,0.0
nationalen,12,0,0.0
wichtiger,61,0,0.0
stark,53,0,0.0
alter,15,0,0.0
abgelehnte,10,0,0.0
positiven,13,0,0.0
schnelle,33,0,0.0
berechtigten,8,0,0.0
erfolgreichen,22,0,0.0
national,7,0,0.0
