doc_id,speaker,party,party_raw,speech_length,full_text
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0008,Janine Wissler,LINKE,DIE LINKE,3141,"Prima Idee!) 

Es gilt auch weiterhin: Wer kein Aufenthaltsrecht hat, 
muss unser Land wieder verlassen. 

(Beifall CDU und BÜNDNIS 90/DIE GRÜNEN) 

Wir setzen dabei bewusst zuerst auf die freiwillige Ausreise 
und machen den Menschen konkrete und individuelle 
Angebote. Eine Abschiebung steht immer am Ende eines 
Verfahrens, aber es darf auch kein Missverständnis verbleiben: 
Wir sind bereit und in der Lage, durch Umsetzung des 
geltenden Rechts auch zu diesem Mittel zu greifen. Das 
gilt insbesondere für Straftäter und Gefährder, meine Damen 
und Herren. 

(Beifall CDU und BÜNDNIS 90/DIE GRÜNEN) 

An dieser Stelle will ich einen Punkt nicht aussparen: Ja, 
wir haben in der Koalition eine unterschiedliche Einschätzung 
bei der Einstufung bestimmter Staaten als sichere 
Herkunftsländer. Aus meiner Sicht leidet die Diskussion 
aber unter einer Verengung der Begrifflichkeit. Sie wird 
unter dem Symbol der sicheren Herkunftsstaaten geführt. 
In Wirklichkeit geht es aber doch darum, ob und wie es gelingt, 
bei Asylbewerbern aus Staaten mit sehr geringer Anerkennungsquote 
zu einem beschleunigten Asylverfahren 
zu kommen. 

Davon unberührt bleiben die Verfahren, die den besonderen 
Schutz der sogenannten vulnerablen Gruppen betreffen. 
Wenn wir an diesem Punkt die Symbolhaftigkeit der 
Debatte überwinden und zu pragmatischen Lösungen kommen 
würden, wäre dies ein Gewinn. Ich setzte hierzu weiter 
auf einen konstruktiven Dialog, insbesondere in der 
Bundespolitik. Sollte dies nicht gelingen, wird sich Hessen 
im Bundesrat enthalten. 

(Zuruf Freie Demokraten) 

Meine Damen, meine Herren, bei der Aufnahme und Integration 
von Flüchtlingen leisten gerade die Städte und Gemeinden 
Herausragendes. Bei der Bewältigung dieser und 
anderer Zukunftsaufgaben stehen wir weiterhin als Partner 
an der Seite der Städte und Gemeinden. Die Handlungsund 
Gestaltungsfähigkeit der Kommunen ist dabei eng verbunden 
mit ihrer finanziellen Leistungsfähigkeit. Wir werden 
uns auch künftig für ausgeglichene Haushalte, den 
Schuldenabbau und die Stärkung der Investitionskraft der 
Städte und Gemeinden einsetzen. Dazu gehört natürlich 
auch, dass für die vom Land zusätzlich auf die Kommunen 
übertragenen Aufgaben die nötigen Mittel durch das Land 
bereitgestellt werden. 

Gerade bei Erhalt, Sanierung und Neubau kommunaler Infrastruktur 
liegen große Herausforderungen für die Zukunft, 
und wir unterstützen die Städte und Gemeinden dabei 
nachhaltig. Ich darf daran erinnern: Durch die Hessenkasse 
und unsere erfolgreichen Kommunalinvestitionsprogramme 
KIP und KIP macht Schule! können die Kommunen 
über 2,2 Milliarden  investieren. Das ist die größte 
Summe, die es dafür in Hessen jemals gab. 

Wir wollen diese Unterstützung durch ein KIP III verstärken. 
Der Schwerpunkt dieses Programms wird auf der Entwicklung 
der digitalen Infrastruktur und der Modernisierung 
von Schulbauten liegen. 

Meine sehr verehrten Damen und Herren, nicht nur die 
Handlungsfähigkeit der Kommunen gilt es auch für die Zukunft 
zu sichern. Wir halten auch auf Landesebene an unserem 
soliden Kurs der Finanzpolitik ohne neue Schulden 
fest."
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0030,Holger Bellino,CDU,CDU,1360,"Was wollen Sie denn?) 

Wo bleiben denn beispielsweise Ihre fundierten Antworten 
auf die dringenden Fragen und Sorgen der in ihrem Lebensstandard 
bedrohten und unter enormer Steuerlast ächzenden 
Mittelschicht in Hessen und in Deutschland? 

(Beifall AfD) 

Diese Mittelschicht will konkrete Antworten darauf, ob es 
für sie eine gerechte Besteuerung ohne überproportionale 
Belastung gibt, ob es eine wirklich flächendeckende gesundheitliche 
Versorgung, bezahlbaren Wohnraum und eine 
bezahlbare Altersabsicherung geben wird und ob sich 
die Menschen in Hessen ohne die Präsenz von bewaffneten 
Sicherheitskräften noch ohne Angst im öffentlichen Raum 
bewegen können. 

(Beifall AfD) 

Das sind Sorgen, die alle Bürger umtreiben: jetzt, hier, heute. 
 Dietrich Bonhoeffer, den Sie in Ihrer Rede zitierten, 
wies zu Recht auf die Ehrfurcht vor Vergangenem und der 
Verantwortung für die Zukunft hin. Diese Haltung verlangt 
allerdings jetzt konkretes Handeln. Jetzt wollen die Bürger 
Antworten  ehrliche Antworten. 

Nennen Sie uns z. B. endlich die wahren Kosten, die dem 
deutschen Steuerzahler durch die Migrationspolitik der 
Altparteien aufgebürdet werden; denn auch das gehört zu 
Ihrer Informationspflicht. 

(Beifall AfD) 

Es geht um die weitgehend unkontrollierte und fortwährende 
Einwanderung von Millionen von Migranten nach 
Deutschland 

("
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0031,Hermann Schaus,LINKE,DIE LINKE,4785,"In Hessen?) 

und zur Pflicht, mit dem Ausweis sein wirkliches Herkunftsland 
zu belegen, gesagt. Oder Sie hätten etwas zu 
den Sicherheitsinteressen der hessischen Bürger gesagt. 

(Beifall AfD) 

Sie hätten unbedingt etwas zur Arbeitsmigration und der 
Tatsache sagen müssen, dass sich viele hessische Bürger 
mittlerweile fremd im eigenen Land, in der eigenen Stadt 
fühlen. Haben Sie uns Deutsche aufgegeben, Herr Ministerpräsident? 

(Beifall AfD  Lachen Janine Wissler (DIE LINKE)) 

Sie erwähnen eher am Rande das Strafrecht und die Abschiebungen. 
Ich verstehe, dass Sie dazu nicht ausführlicher 
berichten; denn im letzten Jahr haben Sie und Ihr Innenminister 
Beuth von derzeit rund 10.000 ausreisepflichtigen 
Ausländern in Hessen nur 1.754 Migranten abgeschoben. 
Sie wollen im Grunde genommen auch nicht 
mehr abschieben. Lieber erteilen Sie trotz Asylablehnung 
eine Duldung nach der anderen. 

(Beifall AfD) 

Sie geben zu, dass Sie sich nicht einmal auf eine bescheidene 
Erweiterung des Kreises der sicheren Herkunftsstaaten 
mit Ihrem Koalitionspartner, den GRÜNEN, einigen 
können. Das bedeutet, dass Sie im Bundesrat praktisch ein 
Veto gegen eine Ausweitung der sicheren Herkunftsstaaten 
einlegen und der Bevölkerung, die etwas anderes wünscht, 
damit vor den Kopf stoßen. 

(Beifall AfD) 

Wenn in nächster Zeit einer dieser nicht abgeschobenen 
Migranten Verbrechen verübt, tragen auch Sie eine Mitverantwortung. 
Was sagen Sie den Eltern in Hessen, deren 
Kind ein Verbrechen erleidet, das von nicht abgeschobenen 
Migranten begangen wurde? Wir wissen natürlich, dass 
Migranten nicht per se kriminell sind. Aber wir wissen 
auch, dass die Kriminalität unter ihnen stärker ist als unter 
deutschen Staatsbürgern. 

(Beifall AfD) 

Was wollen Sie dagegen tun? Das fragen wir von der AfD. 
Wie wollen Sie eigentlich aufgrund all der eben genannten 
Probleme unsere Gesellschaft zusammenhalten, wenn Sie 
dazu nichts Konkretes vorhaben?  Die AfD sagt Ihnen 
deutlich: Sie setzen mit Ihrer Regierungserklärung die falschen 
Prioritäten. 

(Beifall AfD) 

Die CDU hat bereits in den Vorjahren fast alle ihre konservativen 
Werte aufgegeben und sich einem schleichenden 
links-grünen Wertewandel angeschlossen. 

(Beifall AfD  Lachen Janine Wissler (DIE LINKE)) 

Bereits unter Bundeskanzlerin Merkel wurden Rechtsvorschriften 
zu Ehe, Familie, Bundeswehr, innerer Sicherheit 
und Staatzugehörigkeit geschliffen. 

(Beifall AfD) 

Für die in der Wählergunst bröckelnde CDU zählt nur noch 
eines: Machterhalt auf Teufel komm raus. 

(Beifall AfD) 

Erst vor einigen Tagen wurde bekannt, dass die CDU auchbei der Bildung gegenüber den GRÜNEN eingeknickt ist. 
Erste hessische Schulen sollen nun selbst entscheiden, ob 
sie noch Noten vergeben wollen. Bleibt es bei 30 Schulen, 
oder ist es nicht doch der Einstieg in den Ausstieg von Noten 
im Schulsystem? 

(Beifall AfD  Zuruf BÜNDNIS 90/DIE GRÜNEN) 

Herr Ministerpräsident, ich darf Sie daran erinnern und zitieren, 
was Sie noch 2013 im Wahlkampf gesagt haben: 

Wir wollen und werden nicht zulassen, dass  es 
keine Noten mehr gibt und die Menschen alle in eine 
Einheitsform gepresst werden. 

(Vereinzelter Beifall AfD) 

Das ist nicht nur inhuman, das ist auch falsch, und 
wir werden alles tun, unsere Kinder vor dieser Irrfahrt 
zu bewahren. 

So weit Herr Ministerpräsident Bouffier im Jahre 2013. 

(Beifall AfD) 

Was machen Sie jetzt?  Sie stechen mit einem schwarz-
grünen Schulkreuzfahrtschiff in die bildungspolitische 
Hessensee und unternehmen genau diese Irrfahrt mit Kurs 
auf die gefährlichen Untiefen der abgeschafften Schulnoten. 

(Beifall AfD) 

Letztendlich werden die hessischen Kinder und ihre Eltern 
diese verkehrte Bildungspolitik noch teuer mit Bildungsdefiziten 
bezahlen. 

(Beifall AfD) 

In Ihrem Koalitionsvertrag will man zu einem Aufbruch 
im Wandel aufrufen, und zwar durch Haltung. Haltung 
klingt so gut, bedeutet aber in Ihrer Koalition vor allem 
starre Voreingenommenheit. Haltung heißt für die 
Hessische Landesregierung Zustimmung zum von vielen 
Medien beklatschten politischen Mainstream, um unerwünschte 
politische Haltungen Andersdenkender und Anderswählender 
zu sanktionieren. 

(Zuruf CDU) 

Es geht Ihnen darum, die Meinungsbildung staatlich zu beeinflussen 
und dafür auch Polizei, Justiz und Verfassungsschutz 
zu instrumentalisieren. 

(Beifall AfD  Zuruf CDU: Frechheit!) 

So möchten Sie, dass das Landesamt für Verfassungsschutz 
von nun an der Toleranz dienen und für eine Gesellschaft 
wechselseitiger Achtung sorgen soll. Das ist wieder etwas, 
was gut klingt. Doch eigentlich sollte die wichtigste Aufgabe 
Überwachung von Bestrebungen gegen die freiheitlich-
demokratische Grundordnung sein und nicht die der 
Toleranzüberwachung. 

("
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0036,Frank Grobe,AfD,AfD,4112,"Herr Präsident, werte Kolleginnen und Kollegen! Mein 
Vorredner Robert Lambrou hat es bereits mit anderen Worten 
gesagt: Der Koalitionsvertrag verdient viel Kritik auf 
dem Feld der Bildung, d. h. Schule, berufliche Bildung und 
Hochschule. Hier reiht sich eine falsche Prioritätensetzung 
an die andere. 

(Beifall AfD) 

Es geht Ihnen nicht mehr darum, die Bildung zu stärken 
oder die geistige Fähigkeit der Schüler und Studenten zu 
heben. Es geht vielmehr um eine Nivellierung der Leistungen 
auf einer niedrigeren Stufe. 

(Beifall AfD) 

Man gewinnt den Eindruck, dass der Programmteil Bildung 
des Koalitionsvertrags aus grüner Feder stammt. Eine 
CDU-Handschrift lässt sich jedenfalls kaum noch erkennen. 
Dies geht alles zulasten der bildungshungrigen 
hessischen Schüler und Studenten. 

Vielleicht müssen wir noch einmal darauf hinweisen, dass 
Bildung der einzige Rohstoff ist, der uns als rohstoffarmes 
Land geblieben ist und der uns wirtschaftlich stark und effizient 
gemacht hat. 

(Beifall AfD) 

Hat die Landesregierung vergessen  oder interessiert es 
sie nicht mehr , dass Bildung der Motor der deutschen 
Wirtschaft und auch des Wirtschaftswunders nach dem 
Zweiten Weltkrieg war? Um in einer zunehmend digitalen 
Welt Schritt halten zu können, müssen wir die Ausgaben 
für Ausbildung, Bildung und Hochschule deutlich erhöhen. 

Herr Ministerpräsident, Sie sprechen in Ihrer Regierungserklärung 
davon, dass kein bundesdeutsches Flächenland 
pro Einwohner mehr ausgibt als Hessen. Das stimmt. 

(Ministerpräsident Volker Bouffier: Stimmt!) 

Doch das ist nur die halbe Wahrheit. Die Wahrheit ist, dass 
das Land Hessen nach dem vor Kurzem erschienenen Bildungsfinanzbericht 
2018 nur peinliche 3,4 % des Bruttoinlandsprodukts 
in Bildung investiert. Der OECD-Durchschnitt 
liegt bei 5 %. Wir belegen damit im internationalen 
Vergleich einen der hinteren Plätze. Hessen als angeblich 
modernes und technikaffines Land ist nach dem OECD-
Bericht auf dem Niveau von Albanien angelangt. 

(Beifall AfD  Ministerpräsident Volker Bouffier: 
Fahren Sie mal nach Albanien, damit Sie sehen, wie 
es da ist!) 

Nicht von ungefähr gleichen viele Schulen heute Bauruinen. 
Schämen Sie sich eigentlich nicht? Sie verspielen damit 
das Potenzial und die Zukunft unserer Kinder. 

Dabei wäre Geld genug vorhanden. Hessen ist noch ein 
wohlhabendes Land. So hat sich das hessische Haushaltsvolumen 
im letzten Jahr um 1 Milliarde  erhöht. Aber Sie 
zahlen lieber weiter für die sogenannten Flüchtlinge. 

(Zuruf CDU: Ey!) 

Seit der irregulären Grenzöffnung Merkels 2015 hat allein 
Hessen 4,4 Milliarden  für diese ausgegeben  von den 
versteckten Kosten einmal ganz abgesehen. 

(Beifall AfD) 

Sehr geehrte Kolleginnen und Kollegen, kommen wir wieder 
zum Koalitionsvertrag zurück. Dieser gleicht einem Irrweg; 
denn dort steht  ich zitiere aus dem Kapitel Bildung 
: 

Bildung ist das Fundament unserer Gesellschaft und 
für jeden Einzelnen der Schlüssel für ein gelingendes 
Leben. Deshalb bleibt Bildung ein Schwerpunkt 
unserer Politik. 

Und was müssen wir aus den Medien erfahren?  Dass es 
die Landesregierung den hessischen Schulen von nun an 
freistellt, ob sie Noten vergeben oder nicht. Auch wenn der 
Herr Ministerpräsident dies jetzt relativiert: Es ist ein Einstieg 
in den Ausstieg aus der Notengebung. 

(Beifall AfD) 

Widerspricht sich die Landesregierung nicht in ihrer Ankündigung, 
oder bedeutet das Zitat Schlüssel für ein gelingendes 
Leben eine sozialistische Neuinterpretation des 
Begriffs Bildung? Man könnte auch sagen, die Kinder zur 
Lebensuntüchtigkeit erziehen; denn nichts anderes wird 
eintreten. 

(Beifall AfD) 

Herr Ministerpräsident, opfern Sie jetzt Ihre hessischen 
Landeskinder bildungspolitisch für ein grünes Menschenexperiment? 
Blenden Sie und Ihre CDU die Realität aus, 
nur um weiterhin an der Macht zu bleiben? 

(Beifall AfD) 

Was sagen Sie den Unternehmern, wie diese künftig noch 
leistungsfähige und -orientierte Mitarbeiter finden können? 
Können Sie uns sagen, welche grünen Schulreformen überhaupt 
erfolgreich gewesen sind?"
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0047,Hermann Schaus,LINKE,DIE LINKE,2488,"Genau!) 

Kein Wort haben Sie darüber verloren, welche Konsequenzen 
daraus gezogen werden müssen. 

(Beifall DIE LINKE) 

Die NSU-Opferanwältin Basay-Yildiz bekommt Morddrohungen 
gegen ihr zwei Jahre altes Kind, die mit NSU 2.0 
unterschrieben sind. Darin sind Daten enthalten, die von 
einem Polizeicomputer im 1. Revier in Frankfurt abgerufen 
wurden. 

Mittlerweile gab es mehrere Hausdurchsuchungen. Zwölf 
Polizisten wurden wegen rechtsradikaler Aktivitäten vom 
Dienst suspendiert; denn sie hatten Hakenkreuzbilder verschickt. 
Gegen sie besteht der Verdacht der Volksverhetzung. 
Sie haben illegale Waffen besessen. Einer hatte zu 
Hause sogar eine Art Hitler-Gedenkzimmer gehabt. 

Ich will mir gar nicht vorstellen, was in diesem Land los 
wäre, wenn das keine Rechten, sondern wenn das Islamisten 
gewesen wären. Dann würden alle Alarmglocken 
schrillen. Es gab eine Bombendrohung gegen Gerichtsgebäude, 
die mit Nationalsozialistische Offensive unterschrieben 
war. Es gab zehn Brandanschläge auf linke Zentren 
und linke Wohnprojekte im Rhein-Main-Gebiet. Es gab 
Morddrohungen im Namen eines NSU 2.0. 

Herr Ministerpräsident, leider haben Sie zu alldem wenig 
gesagt. Ansonsten liegt Ihnen die Sicherheit der Bürgerinnen 
und Bürger doch so am Herzen. Ansonsten pochen Sie 
doch so darauf. 

Ich sage: Angesichts einer Häufung so vieler Vorfälle rechter 
Gewalt müssten auch beim Ministerpräsidenten alle 
Alarmglocken schrillen. Ich erwarte deutliche Worte zu einer 
solchen Gefahr von rechts. 

(Beifall LINKE und vereinzelt SPD) 

Aber anstatt Konsequenzen zu ziehen, bleibt Herr Beuth 
Innenminister. Das ist der Mann, der nicht in der Lage war, 
ein verfassungsgemäßes Landtagswahlgesetz vorzulegen. 
Gerade gestern hat ihm das Bundesverfassungsgericht wieder 
einmal ein Überwachungsgesetz kassiert. 

(Thorsten Schäfer-Gümbel (SPD): Nein, das war 
von Herrn Bouffier!) 

Er hat sich in einer Büttenrede über minderjährige Flüchtlinge 
lustig gemacht. Er hat bei der Aufklärung der NSU-
Vorfälle gemauert. Jetzt klärt er aktuell wieder nicht auf. 

Herr Beuth hat es nicht einmal für nötig gehalten, das Parlament 
darüber zu informieren, dass es in Hessen eine 
Morddrohung gibt, die mit NSU 2.0 unterschrieben ist. 
Dann ergab sich bei den Ermittlungen auch noch eine Spur, 
die zu Polizisten führt. 

Herr Beuth wusste seit Anfang August 2018 von diesem 
Drohbrief. Die Mitglieder des Landtags haben davon Mitte 
Dezember 2018 aus der Presse erfahren. 

("
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0059,Marius Weiß,SPD,SPD,3463,"Sie sollten sich einmal die 
Zahlen von der Schülervertretung liefern lassen!) 

 Ja, dann man kann immer noch erleben, dass der Mathelehrer 
krank wird. Man kann zwar versuchen, auf dieser 
Grundlage eine Kampagne zu starten, aber wozu das führt, 
haben Sie am 28. Oktober 2018 gesehen. Wie gesagt, es ist 
gründlich schiefgegangen. 

(Beifall CDU und BÜNDNIS 90/DIE GRÜNEN) 

Ich würde Ihnen vorschlagen, dass wir uns über die Inhalte 
unterhalten. Der CDU war es wichtig, dass wir das Beherrschen 
von Deutsch als Kompetenz stärken. Ich habe eben 
über neue pädagogische Konzepte gesprochen. Auf der anderen 
Seite war es uns wichtig, zu sagen  Stichwort: 
Schreiben nach Gehör , dass wir glauben, es gibt, gerade 
in den ersten Jahren der Grundschule, bessere Möglichkeiten, 
Kindern Lesen, Schreiben, Rechtschreibung und Sprache 
zu vermitteln. 

Ich will Ihnen aber sagen, worauf wir besonders stolz sind. 
Der Kollege Rock hat heute über das Thema Fachkräftemangel 
gesprochen. Zu sagen: Wir müssen da jetzt einmal 
anfangen, ist schön; aber ich glaube, auch die Freien Demokraten 
haben mitbekommen, dass das Thema seit mindestens 
zehn Jahren auf unserer Agenda steht. Ich finde, 
die Fachkräftekommission des Landes Hessen hat 2009, 
2010 und 2011 gute Ergebnisse auf diesem Gebiet erzielt. 
Sie können ja nur gut sein, weil ich die Landesregierung 
damals dort vertreten habe. 

Wir haben damals gesagt: Wir werden den Fachkräftemangel 
nur dann lindern können, wenn wir uns bestimmten 
Zielgruppen  in volkswirtschaftlicher Hinsicht könnte 
man von Ressourcen sprechen  zuwenden. Beispielsweise 
können wir bei älteren Arbeitnehmerinnen und Arbeitnehmern 
dahin kommen, dass deren Erwerbstätigkeit, 
wenn sie es denn wollen, länger dauert, als es das gesetzliche 
Renteneintrittsalter normalerweise hergibt. Das ist eine 
riesengroße Zielgruppe. 

Wir müssen noch besser werden bei der Erwerbstätigkeit 
von Frauen. Ja, wir liegen mit etwas mehr als 70 % erwerbstätigen 
Frauen im europäischen Mittel. Die Quote 
steigert sich allmählich. Aber bei den Wochenarbeitszeiten 
besteht weiter Verbesserungsbedarf. Viele Frauen, die heute 
15 oder 20 Stunden pro Woche arbeiten, sagen: Ich würde 
gern mehr arbeiten, aber dafür fehlen noch ein bisschen 
die Rahmenbedingungen.  Da ist man sehr schnell bei den 
Themen, über die hier schon diskutiert worden ist und die 
ich heute nicht noch einmal aufrufen will  Stichwörter: 
Familie, Ganztagsschulen, Kinderbetreuung und vieles andere 
mehr. Wir werden viele Gelegenheiten haben, darüber 
zu reden. 

Aber eine weitere wichtige Ressource  ich sage Zielgruppe 
 sind die Menschen mit Behinderungen, die es in 
den Arbeitsmarkt zu integrieren gilt. Diese Landesregierung 
liegt, was die Beschäftigungsquoten anbelangt, mit 
Abstand auf Platz 1 im Vergleich der 16 Bundesländer. 

(Beifall CDU und BÜNDNIS 90/DIE GRÜNEN) 

Das kann man noch besser machen. Ja, das könnte man 
auch in den Unternehmen noch besser machen. Daran arbeiten 
wir im Sozialministerium. Kai Klose hat dort sicherlich 
eine ganze Reihe von Aufgaben, mit denen schon begonnen 
worden ist, deren Bearbeitung aber weiter intensiviert 
werden muss. 

Damit sind wir beim internationalen Arbeitsmarkt. Ich hoffe, 
dass Bund und Länder irgendwann zu einer gemeinsamen 
Lösung kommen, was den Fachkräftezuwanderungsteil 
dieses Problems anbelangt. Aber wir waren damals 
Vorreiter. Wir waren 2012/2013 das erste Land, das eine"
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0061,Janine Wissler,LINKE,DIE LINKE,50,"Aber Marburg wollte 
doch Flüchtlinge aufnehmen! "
047461152_20_2019-24_pdf_004_047461152_20_2019-24_pdf_004_0012,Janine Wissler,LINKE,DIE LINKE,3957,"Ach 
Gott!  Weitere Zurufe SPD und DIE LINKE) 

Kennen Sie eigentlich den Beutelsbacher Konsens von 
1976?  Anscheinend nicht mehr. Dieses Überwältigungsverbot 
sollte Anwendung finden.  Vielen Dank. 

(Beifall AfD) 

Vizepräsident Frank Lortz: 

Vielen Dank. Das war in der Zeit.  Gibt es weitere Wortmeldungen? 
 Die gibt es nicht. Dann haben wir diese Aktuelle 
Stunde beendet. 

Ich rufe Tagesordnungspunkt 17 auf: 

Antrag Aktuelle Stunde 
Fraktion der Freien Demokraten 
CDU bricht Wahlversprechen  Hessen blockiert die sichere 
Drittstaatenlösung 
 Drucks. 20/97  

Mit aufgerufen ist Tagesordnungspunkt 8: 

Antrag 
Fraktion der Freien Demokraten 
Zustimmung im Bundesrat  Georgien, Algerien, Marokko 
und Tunesien müssen sichere Herkunftsstaaten 
werden 
 Drucks. 20/61  

Das Wort hat der Kollege Müller, FDP-Fraktion. Bitte sehr. 

Stefan Müller (Heidenrod) (Freie Demokraten): 

Sehr geehrter Herr Präsident, meine sehr geehrten Damen 
und Herren! Der Bundestag hat am 18. Januar beschlossen, 
die Maghrebstaaten und Georgien als sichere Herkunftsstaaten 
einzustufen. Hintergrund ist, dass die meisten Menschen, 
die aus dieser Gegend zu uns nach Deutschland 
kommen, aus wirtschaftlichen Gründen kommen und dass 
daher nur einige  im einstelligen Prozentbereich  Asylanträge 
überhaupt anerkannt werden. Um die von vornherein 
aussichtlosen Verfahren zu beschleunigen, wird das 
Verfahren der Ausweisung von Staaten als sichere Herkunftsstaaten 
genutzt. 

Meine Damen und Herren, das führt nicht dazu, dass die 
Anhörung der Antragsteller verkürzt wird. Der Grundsatz 
der Einzelfallprüfung bleibt  auch nach dem Beschluss 
des Bundestages  unangetastet erhalten. Lediglich wenn 
kein Nachweis erbracht wird, dass eine Verfolgung im Heimatstaat 
droht, kann das Verfahren in der Folge schneller 
abgearbeitet werden. Zusätzlich wurden mit dem Beschluss 
des Bundestages weitere Instrumente geschaffen, um besonders 
gefährdete Gruppen, z. B. Journalisten und Homosexuelle, 
die verfolgt werden, entsprechend zu schützen. 
Daher bleibt Deutschland  und auch Hessen  bei einem 
entsprechenden Beschluss weiterhin ein sicherer Zufluchtsort 
für Menschen, die Schutz vor Krieg, Terror und Verfolgung 
suchen. 

(Beifall Freie Demokraten) 

Wir können umgekehrt die Akzeptanz für unser Asylrecht 
nur dann aufrechterhalten, wenn diejenigen, die nicht 
schutzbedürftig sind oder in Deutschland Straftaten begangen 
haben, auch zurückgeführt werden. Dafür ist die Ausweisung 
von sicheren Herkunftsstaaten ein notwendiges 
Instrument  ein rechtsstaatliches Instrument, das Einklang 
zwischen Verfahrensvorgaben, Klagemöglichkeiten und 
der Rückführungspflicht schafft. 

(Beifall Freie Demokraten) 

Meine Damen und Herren, verstehen Sie mich nicht falsch: 
Auch diejenigen, die aus wirtschaftlichen Gründen kommen, 
wenn wir sie brauchen und wollen, sollen zu uns 
kommen können. Daher fordern wir schon lange ein Einwanderungsgesetz, 
das dafür die entsprechenden Voraussetzungen 
schafft. 

(Beifall Freie Demokraten) 

Leider ist das Vorhaben, weitere sichere Herkunftsländer 
auszuweisen, gerade auch die Maghrebstaaten, schon 2017 
an den GRÜNEN gescheitert; und Gleiches droht auch 
jetzt. 

Ministerpräsident Bouffier hat gestern in seiner Regierungserklärung 
gesagt, es gehe um die Frage, wie wir Menschen 
aus Ländern, aus denen nur ein kleiner Bruchteil der 
Antragsteller Asyl gewährt bekommt, schneller in ihre 
Heimat zurückbringen könnten.  Damit hat er recht. Ich 
habe auch einen ganz einfachen Ansatz, wie Sie das schaffen 
können: Stimmen Sie am 15. Februar im Bundesrat 
dem entsprechenden Beschluss des Bundestages zu. Dann 
schaffen Sie es, dass wir diese Herkunftsstaaten ausweisen 
können. Heben Sie die Hand; machen Sie den Weg dafür 
frei, meine Damen und Herren. 

(Beifall Freie Demokraten) 

Die CDU und mit ihr die gesamte Republik befinden sichbei diesem Thema in politischer Geiselhaft der GRÜNEN."
047461152_20_2019-24_pdf_004_047461152_20_2019-24_pdf_004_0013,Holger Bellino,CDU,CDU,829,"Das gilt doch immer!) 

 Nein, Herr Bellino, für Straftäter eben nicht, und das wissen 
Sie ganz genau. Deswegen brauchen wir die Maghrebstaaten 
als sichere Herkunftsländer. 
(Beifall Freie Demokraten und AfD) 

Liebe GRÜNE, ich verstehe ja Ihre Sorge vor einer Aushöhlung 
des Asylrechts. Aber die Erfahrungen mit der 
Ausweisung der Westbalkanstaaten als sichere Herkunftsstaaten 
zeigt doch, dass es genau dort gelungen ist, die 
Rückführungen zu beschleunigen, ohne dass die berechtigten 
Anträge in Zweifel gezogen werden. Genau dort ist es 
doch gelungen. Warum blockieren Sie es an weiteren Stellen, 
wenn alle Erfahrungen dies doch zeigen? Ich habe, 
seitdem diese ausgewiesen worden sind, nicht von den 
GRÜNEN gehört, dass es hier zu massiven Verstößen gegen 
das Asylrecht gekommen sei. 

(Beifall Freie Demokraten "
047461152_20_2019-24_pdf_004_047461152_20_2019-24_pdf_004_0013,Janine Wissler,LINKE,"DIE 
LINKE",994,"In Marokko wird gefoltert!) 

Dann geben Sie doch auch weiteren Ländern die Chance, 
hier ausgewiesen zu werden. Es geht um die Akzeptanz in 
der Bevölkerung, die verloren geht, wenn sich Asylverfahren, 
die von vornherein aussichtslos sind, über Monate und 
Jahre hinziehen und wenn hier Menschen leben und unterstützt 
werden, die darauf absehbar keinen Anspruch haben. 
Unser Ziel ist es, das Grundrecht auf Asyl zu gewährleiten, 

aber auch dort Verfahren zu beschleunigen, wo es möglich 
ist; und dafür brauchen wir die Ausweitung der sicheren 
Herkunftsstaaten. 

(Beifall Freie Demokraten und AfD) 

Meine Damen und Herren, weil wir überzeugt sind, dass 
eine Mehrheit der Abgeordneten auch in diesem Haus diese 
Meinung teilt, beantragen wir erstens die direkte Abstimmung 
und zweitens eine namentliche Abstimmung unseres 
Antrags.  Vielen Dank. 

(Beifall Freie Demokraten und AfD) 

Vizepräsident Frank Lortz: 

Vielen Dank, Herr Kollege.  Das Wort hat Abg. Richter, 
AfD-Fraktion."
