speaker,party,adjectives,text_preview,adjectives_str
Janine Wissler,LINKE,"['sichere', 'sicheren']"," Prima Idee!) 

Es gilt auch weiterhin: Wer kein Aufenthaltsrecht hat, 
muss unser Land wieder verlassen. 

(Beifall CDU und BÜNDNIS 90/DIE GRÜNEN) 

Wir setzen dabei bewusst zuerst auf die freiwillig","sichere, sicheren"
Holger Bellino,CDU,['unkontrollierte']," Was wollen Sie denn?) 

Wo bleiben denn beispielsweise Ihre fundierten Antworten 
auf die dringenden Fragen und Sorgen der in ihrem Lebensstandard 
bedrohten und unter enormer Steuerlast ächzenden 
M",unkontrollierte
Michael Boddenberg,CDU,['gescheiterten']," Das ist ja gar nicht 
wahr!) 

und damit in den deutschen Sozialstaat. 

(Beifall AfD) 

Der Freiburger Wirtschaftswissenschaftler Bernd Raffelhüschen 
bezifferte bereits Ende 2015 die langfristigen ",gescheiterten
Hermann Schaus,LINKE,"['fremd', 'ausreisepflichtigen', 'sicheren', 'sicheren', 'kriminell', 'falschen', 'falsch', 'gefährlichen', 'gut', 'gut']"," In Hessen?) 

und zur Pflicht, mit dem Ausweis sein wirkliches Herkunftsland 
zu belegen, gesagt. Oder Sie hätten etwas zu 
den Sicherheitsinteressen der hessischen Bürger gesagt. 

(Beifall AfD) 

S","fremd, ausreisepflichtigen, sicheren, sicheren, kriminell, falschen, falsch, gefährlichen, gut, gut"
Frank Grobe,AfD,['falsche']," 

Herr Präsident, werte Kolleginnen und Kollegen! Mein 
Vorredner Robert Lambrou hat es bereits mit anderen Worten 
gesagt: Der Koalitionsvertrag verdient viel Kritik auf 
dem Feld der Bildung, d. h.",falsche
Hermann Schaus,LINKE,['illegale']," Genau!) 

Kein Wort haben Sie darüber verloren, welche Konsequenzen 
daraus gezogen werden müssen. 

(Beifall DIE LINKE) 

Die NSU-Opferanwältin Basay-Yildiz bekommt Morddrohungen 
gegen ihr zwei Jah",illegale
Janine Wissler,LINKE,"['sichere', 'sichere', 'sichere', 'sichere', 'schutzbedürftig', 'sicheren', 'falsch', 'sichere', 'gescheitert']"," Ach 
Gott!  Weitere Zurufe SPD und DIE LINKE) 

Kennen Sie eigentlich den Beutelsbacher Konsens von 
1976?  Anscheinend nicht mehr. Dieses Überwältigungsverbot 
sollte Anwendung finden.  Vielen Da","sichere, sichere, sichere, sichere, schutzbedürftig, sicheren, falsch, sichere, gescheitert"
Holger Bellino,CDU,"['sichere', 'sichere']"," Das gilt doch immer!) 

 Nein, Herr Bellino, für Straftäter eben nicht, und das wissen 
Sie ganz genau. Deswegen brauchen wir die Maghrebstaaten 
als sichere Herkunftsländer. 
(Beifall Freie Demokra","sichere, sichere"
Janine Wissler,LINKE,['sicheren']," In Marokko wird gefoltert!) 

Dann geben Sie doch auch weiteren Ländern die Chance, 
hier ausgewiesen zu werden. Es geht um die Akzeptanz in 
der Bevölkerung, die verloren geht, wenn sich Asylverfahr",sicheren
Volker Richter,AfD,"['abgelehnten', 'wichtig']"," 

Verehrter Herr Präsident, meine sehr verehrten Damen und 
Herren! Der FDP-Antrag befasst sich leider nicht mit der 
Problematik der Rücknahme von Migranten durch ihre 
Herkunftsstaaten. Ebenfalls u","abgelehnten, wichtig"
Astrid Wallmann,CDU,"['sicheren', 'sicheren', 'sicheren', 'wichtig', 'gut', 'sichere']"," 

Sehr geehrter Herr Präsident, meine sehr geehrten Damen 
und Herren! Eines vorweg zu dieser Debatte: Ich glaube 
nicht, dass wir heute einen größeren Erkenntnisgewinn haben 
werden. Zum einen haben","sicheren, sicheren, sicheren, wichtig, gut, sichere"
